nodes;program;c.domain;adv.model;protocol;partysize;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;atlas;3;20;0.150531;19;~309;2.90829;6.48258
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;atlas;3;30;0.153743;19;~449;2.92237;6.5237
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;atlas;3;40;0.202259;19;~589;2.93645;6.56482
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;shamir;3;20;0.0368752;17;~166;0.681632;1.72264
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;shamir;3;30;0.0583811;15;~246;0.702432;1.78392
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;shamir;3;40;0.0570899;15;~326;0.723232;1.8452
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;semihonest;replicated-ring;3;20;0.0420399;15;~241;0.40298;0.96786
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;semihonest;replicated-ring;3;30;0.0577441;15;~321;0.40385;0.97031
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;semihonest;replicated-ring;3;40;0.0664175;13;~401;0.40472;0.97276
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semihonest;ccd;3;20;0.061257;10;NA;0.012984;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semihonest;ccd;3;30;0.0969729;12;NA;0.019444;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semihonest;ccd;3;40;0.127311;13;NA;0.025904;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semidishonest;yao;2;20;0.0179138;11;NA;0.165824;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semidishonest;yao;2;30;0.0189663;11;NA;0.248704;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semidishonest;yao;2;40;0.020659;12;NA;0.331584;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;3;20;0.788712;83;NA;26.3028;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;3;30;0.849097;80;NA;26.3144;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;3;40;0.957154;82;NA;26.326;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semidishonest;semi-bin;3;20;0.538335;201;NA;21.9425;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semidishonest;semi-bin;3;30;0.595204;198;NA;22.0254;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;semidishonest;semi-bin;3;40;0.642551;198;NA;22.1083;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;malhonest;malicious-rep-bin;3;20;0.0895898;18;NA;0.913984;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;malhonest;malicious-rep-bin;3;30;0.118197;18;NA;0.956064;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;malhonest;malicious-rep-bin;3;40;0.149632;16;NA;0.998144;NA
