comp. domain  adv. model    protocol  cpu_freq  input_size  measurement
FIELD         semihonest    atlas     1.8       9           0.0829678
FIELD         semihonest    atlas     1.8       11          0.0839007
FIELD         semihonest    atlas     1.8       13          0.0898611
FIELD         semihonest    atlas     1.8       15          0.0894864
FIELD         semihonest    atlas     1.8       17          0.0907849
FIELD         semihonest    atlas     1.8       19          0.0946874
FIELD         semihonest    atlas     1.8       20          0.0950881
FIELD         semihonest    atlas     2.6       9           0.0688329
FIELD         semihonest    atlas     2.6       11          0.0633189
FIELD         semihonest    atlas     2.6       13          0.0644212
FIELD         semihonest    atlas     2.6       15          0.0665716
FIELD         semihonest    atlas     2.6       17          0.0682815
FIELD         semihonest    atlas     2.6       19          0.0689056
FIELD         semihonest    atlas     2.6       20          0.071526
FIELD         semihonest    shamir    1.8       9           0.0222489
FIELD         semihonest    shamir    1.8       11          0.0239122
FIELD         semihonest    shamir    1.8       13          0.0255975
FIELD         semihonest    shamir    1.8       15          0.0263657
FIELD         semihonest    shamir    1.8       17          0.0283988
FIELD         semihonest    shamir    1.8       19          0.0305235
FIELD         semihonest    shamir    1.8       20          0.0317384
FIELD         semihonest    shamir    2.6       9           0.0170693
FIELD         semihonest    shamir    2.6       11          0.0185741
FIELD         semihonest    shamir    2.6       13          0.0189288
FIELD         semihonest    shamir    2.6       15          0.0198836
FIELD         semihonest    shamir    2.6       17          0.0212888
FIELD         semihonest    shamir    2.6       19          0.0223628
FIELD         semihonest    shamir    2.6       20          0.0227307
BINARY        semihonest    ccd       1.8       9           0.0271382
BINARY        semihonest    ccd       1.8       11          0.0315848
BINARY        semihonest    ccd       1.8       13          0.0372825
BINARY        semihonest    ccd       1.8       15          0.0427266
BINARY        semihonest    ccd       1.8       17          0.047977
BINARY        semihonest    ccd       1.8       19          0.0525156
BINARY        semihonest    ccd       1.8       20          0.0633693
BINARY        semihonest    ccd       2.6       9           0.0208121
BINARY        semihonest    ccd       2.6       11          0.0253011
BINARY        semihonest    ccd       2.6       13          0.0302896
BINARY        semihonest    ccd       2.6       15          0.0348902
BINARY        semihonest    ccd       2.6       17          0.0385606
BINARY        semihonest    ccd       2.6       19          0.0429985
BINARY        semihonest    ccd       2.6       20          0.0442353
BINARY        maldishonest  tinier    1.8       9           0.408746
BINARY        maldishonest  tinier    1.8       11          0.410072
BINARY        maldishonest  tinier    1.8       13          0.418537
BINARY        maldishonest  tinier    1.8       15          0.426713
BINARY        maldishonest  tinier    1.8       17          0.431732
BINARY        maldishonest  tinier    1.8       19          0.433279
BINARY        maldishonest  tinier    1.8       20          0.445249
BINARY        maldishonest  tinier    2.6       9           0.296085
BINARY        maldishonest  tinier    2.6       11          0.298158
BINARY        maldishonest  tinier    2.6       13          0.312202
BINARY        maldishonest  tinier    2.6       15          0.310443
BINARY        maldishonest  tinier    2.6       17          0.323543
BINARY        maldishonest  tinier    2.6       19          0.326695
BINARY        maldishonest  tinier    2.6       20          0.329076
