protocol;input_size;measurement
unsealdmpc;10;2.393103365
unsealdmpc;1000010;2.552041100
unsealdmpc;2000010;4.993302927
unsealdmpc;3000010;6.739499659
unsealdmpc;4000010;9.179898390
unsealdmpc;5000010;12.267656068
unsealdmpc;6000010;14.775718008
unsealdmpc;7000010;18.144706256
unsealdmpc;8000010;19.104923493
unsealdmpc;9000010;22.386461315
unsealdmpc;10000010;25.708173039
unsealdmpc;11000010;28.472614966
unsealdmpc;12000010;30.665155376
unsealdmpc;13000010;33.574832114
unsealdmpc;14000010;36.647885076
unsealdmpc;15000010;38.285113224
unsealdmpc;16000010;41.283044946
unsealdmpc;17000010;45.913082707
unsealdmpc;18000010;49.698713024
unsealdmpc;19000010;51.386560729
unsealdmpc;20000010;54.088406948
unsealdmpc;21000010;55.838205803
unsealdmpc;22000010;59.944657727
unsealdmpc;23000010;63.140362451
unsealdmpc;24000010;65.774338779
unsealdmpc;25000010;66.266011183
unsealdmpc;26000010;69.048786345
unsealdmpc;27000010;71.592562853
unsealdmpc;28000010;73.671505568
unsealdmpc;29000010;76.881232755
unsealdmpc;30000010;76.485065970
unsealdmpc;31000010;80.471379919
unsealdmpc;32000010;85.110606917
unsealdmpc;33000010;85.412112704
unsealdmpc;34000010;91.795650885
unsealdmpc;35000010;92.693022124
unsealdmpc;36000010;100.352563511
unsealdmpc;37000010;98.205507750
unsealdmpc;38000010;103.776495923
unsealdmpc;39000010;108.222265108
unsealdmpc;40000010;106.584747346
unsealdmpc;41000010;114.236468865
unsealdmpc;42000010;116.273698454
unsealdmpc;43000010;116.008019366
unsealdmpc;44000010;120.820030654
unsealdmpc;45000010;120.937656120
unsealdmpc;46000010;124.997743257
unsealdmpc;47000010;129.305033174
unsealdmpc;48000010;128.170291641
unsealdmpc;49000010;132.806137182
unsealdmpc;50000010;134.921625400
unsealdmpc;51000010;138.812588319
unsealdmpc;52000010;140.712812929
unsealdmpc;53000010;144.219910566
unsealdmpc;54000010;147.331052946
unsealdmpc;55000010;146.214619472
unsealdmpc;56000010;145.295355899
unsealdmpc;57000010;153.711974120
unsealdmpc;58000010;152.347966874
unsealdmpc;59000010;159.462905110
unsealdmpc;60000010;161.057438758
unsealdmpc;61000010;160.638085301
unsealdmpc;62000010;163.302721072
unsealdmpc;63000010;168.544865659
unsealdmpc;64000010;169.123246197
unsealdmpc;65000010;177.065063065
unsealdmpc;66000010;170.247224644
unsealdmpc;67000010;185.911886828
unsealdmpc;68000010;191.221252376
unsealdmpc;69000010;193.898446154
unsealdmpc;70000010;198.358100216
unsealdmpc;71000010;197.641685640
unsealdmpc;72000010;197.026476105
unsealdmpc;73000010;205.939364374
unsealdmpc;74000010;204.748573530
unsealdmpc;75000010;211.791532890
unsealdmpc;76000010;208.096118853
unsealdmpc;77000010;218.545814418
unsealdmpc;78000010;210.884957514
unsealdmpc;79000010;222.379968327
unsealdmpc;80000010;220.480513327
unsealdmpc;81000010;228.691660527
unsealdmpc;82000010;225.723865841
unsealdmpc;83000010;234.816081491
unsealdmpc;84000010;237.088746006
unsealdmpc;85000010;231.361990177
unsealdmpc;86000010;239.546940701
unsealdmpc;87000010;247.532051696
unsealdmpc;88000010;246.775574401
unsealdmpc;89000010;249.420384888
unsealdmpc;90000010;243.437608186
unsealdmpc;91000010;257.583944083
unsealdmpc;92000010;252.125493678
unsealdmpc;93000010;259.878844096
unsealdmpc;94000010;264.758128224
unsealdmpc;95000010;267.019867084
unsealdmpc;96000010;259.401839231
unsealdmpc;97000010;268.871819692
unsealdmpc;98000010;270.619936397
unsealdmpc;99000010;280.334674854
unsealdmpc;100000000;277.931381076
