nodes;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;FIELD;semihonest;shamir;NA;300;401;1;40;10;0.129367;13;~501;0.016;0.0432
todd,ned,rod;FIELD;semihonest;shamir;NA;1200;1601;1;40;20;0.856625;13;~2001;0.064;0.1728
todd,ned,rod;FIELD;semihonest;shamir;NA;2700;3601;1;40;30;2.15255;13;~4501;0.144;0.3888
todd,ned,rod;FIELD;semihonest;shamir;NA;4800;6401;1;40;40;4.05137;14;~8001;0.256;0.6912
todd,ned,rod;FIELD;semihonest;shamir;NA;7500;10001;1;40;50;6.90797;16;~12501;0.4;1.08
todd,ned,rod;FIELD;semihonest;shamir;NA;10800;14401;1;40;60;9.80795;14;~18001;0.576;1.5552
todd,ned,rod;FIELD;semihonest;shamir;NA;14700;19601;1;40;70;13.6437;15;~24501;0.784;2.1168
todd,ned,rod;FIELD;semihonest;shamir;NA;19200;25601;1;40;80;17.3422;16;~32001;1.024;2.7648
todd,ned,rod;FIELD;semihonest;shamir;NA;24300;32401;1;40;90;22.0023;15;~40501;1.296;3.4992
todd,ned,rod;FIELD;semihonest;shamir;NA;30000;40001;1;40;100;27.8709;19;~50001;1.6;4.32
todd,ned,rod;FIELD;semihonest;shamir;NA;300;401;1;80;10;0.0522953;13;~501;0.016;0.0432
todd,ned,rod;FIELD;semihonest;shamir;NA;1200;1601;1;80;20;0.230597;13;~2001;0.064;0.1728
todd,ned,rod;FIELD;semihonest;shamir;NA;2700;3601;1;80;30;0.580182;13;~4501;0.144;0.3888
todd,ned,rod;FIELD;semihonest;shamir;NA;4800;6401;1;80;40;1.12054;14;~8001;0.256;0.6912
todd,ned,rod;FIELD;semihonest;shamir;NA;7500;10001;1;80;50;1.59126;13;~12501;0.4;1.08
todd,ned,rod;FIELD;semihonest;shamir;NA;10800;14401;1;80;60;2.3188;15;~18001;0.576;1.5552
todd,ned,rod;FIELD;semihonest;shamir;NA;14700;19601;1;80;70;3.13489;15;~24501;0.784;2.1168
todd,ned,rod;FIELD;semihonest;shamir;NA;19200;25601;1;80;80;3.87939;14;~32001;1.024;2.7648
todd,ned,rod;FIELD;semihonest;shamir;NA;24300;32401;1;80;90;5.20997;19;~40501;1.296;3.4992
todd,ned,rod;FIELD;semihonest;shamir;NA;30000;40001;1;80;100;6.69593;16;~50001;1.6;4.32
todd,ned,rod;FIELD;semihonest;shamir;NA;300;401;2;40;10;0.173448;13;~501;0.016;0.0432
todd,ned,rod;FIELD;semihonest;shamir;NA;1200;1601;2;40;20;1.20072;13;~2001;0.064;0.1728
todd,ned,rod;FIELD;semihonest;shamir;NA;2700;3601;2;40;30;2.56635;13;~4501;0.144;0.3888
todd,ned,rod;FIELD;semihonest;shamir;NA;4800;6401;2;40;40;4.82964;14;~8001;0.256;0.6912
