nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;65;8;0.985846;260;~327;41.0192;123.056
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;577;24;1.06595;259;~2375;41.052;123.137
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;65;8;506.574;1240;~311;1.60332;4.8078
todd,ned,rod;32_matrix_add;FIELD;maldishonest;lowgear;NA;NA;577;24;1.08991;59;~2359;1.63608;4.88972
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;65;8;1169.76;2624;~322;107.085;321.254
todd,ned,rod;32_matrix_add;FIELD;maldishonest;highgear;NA;NA;577;24;24.0667;271;~2370;107.118;321.334
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;65;8;6.76009;132;~311;1.60332;4.8078
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;cowgear;NA;NA;577;24;1.08347;61;~2359;1.63608;4.88972
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;chaigear;NA;NA;65;8;70.7157;1251;~322;107.085;321.254
todd,ned,rod;32_matrix_add;FIELD;covertdishonest;chaigear;NA;NA;577;24;24.109;271;~2370;107.118;321.336
todd,ned,rod;32_matrix_add;FIELD;semidishonest;semi;NA;NA;65;8;0.00892282;14;~256;0.002048;0.004096
todd,ned,rod;32_matrix_add;FIELD;semidishonest;semi;NA;NA;577;24;0.0593692;14;~2304;0.018432;0.036864
todd,ned,rod;32_matrix_add;FIELD;semidishonest;hemi;NA;NA;65;8;0.00744137;19;~256;0.002048;0.004096
todd,ned,rod;32_matrix_add;FIELD;semidishonest;hemi;NA;NA;577;24;0.0626947;18;~2304;0.018432;0.036864
todd,ned,rod;32_matrix_add;FIELD;semidishonest;temi;NA;NA;65;8;0.0074679;28;~256;0.002048;0.004096
todd,ned,rod;32_matrix_add;FIELD;semidishonest;temi;NA;NA;577;24;0.0640467;29;~2304;0.018432;0.036864
todd,ned,rod;32_matrix_add;FIELD;semidishonest;soho;NA;NA;65;8;0.00886583;121;~256;0.002048;0.004096
todd,ned,rod;32_matrix_add;FIELD;semidishonest;soho;NA;NA;577;24;0.0614854;102;~2304;0.018432;0.036864
todd,ned,rod;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;65;8;0.00617369;16;~65;0.004096;0.012288
todd,ned,rod;32_matrix_add;FIELD;malhonest;malicious-shamir;NA;NA;577;24;0.0463154;14;~577;0.036864;0.110592
todd,ned,rod;32_matrix_add;FIELD;malhonest;malicious-rep-field;NA;NA;65;8;0.00598765;15;~67;0.002176;0.006528
todd,ned,rod;32_matrix_add;FIELD;malhonest;malicious-rep-field;NA;NA;577;24;0.0508145;13;~579;0.01856;0.05568
todd,ned,rod;32_matrix_add;FIELD;malhonest;ps-rep-field;NA;NA;65;8;0.0169855;14;~67;0.002176;0.006528
todd,ned,rod;32_matrix_add;FIELD;malhonest;ps-rep-field;NA;NA;577;24;0.0412527;17;~579;0.01856;0.05568
todd,ned,rod;32_matrix_add;FIELD;semihonest;sy-rep-field;NA;NA;65;8;0.00672982;15;~72;0.005376;0.016128
todd,ned,rod;32_matrix_add;FIELD;semihonest;sy-rep-field;NA;NA;577;24;0.0425045;16;~584;0.046336;0.139008
todd,ned,rod;32_matrix_add;FIELD;semihonest;shamir;NA;NA;65;8;0.00873202;15;~129;0.004096;0.009216
todd,ned,rod;32_matrix_add;FIELD;semihonest;shamir;NA;NA;577;24;0.0862393;13;~1153;0.036864;0.082944
todd,ned,rod;32_matrix_add;FIELD;semihonest;atlas;NA;NA;65;8;0.0351044;17;~140;1.4441;2.88922
todd,ned,rod;32_matrix_add;FIELD;semihonest;atlas;NA;NA;577;24;0.140704;17;~1164;1.47686;2.96294
todd,ned,rod;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;65;8;0.0103494;13;~65;0.002048;0.006144
todd,ned,rod;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;577;24;0.0362608;14;~577;0.018432;0.055296
todd,ned,rod;32_matrix_add;RING;maldishonest;spdz2k;NA;NA;65;8;0.881373;166;~349;20.6022;61.8046
todd,ned,rod;32_matrix_add;RING;maldishonest;spdz2k;NA;NA;577;24;0.983826;167;~2397;20.635;61.8865
todd,ned,rod;32_matrix_add;RING;semidishonest;semi2k;NA;NA;65;8;0.00918379;14;~256;0.001024;0.002048
todd,ned,rod;32_matrix_add;RING;semidishonest;semi2k;NA;NA;577;24;0.0607509;14;~2304;0.009216;0.018432
todd,ned,rod;32_matrix_add;RING;malhonest;brain;NA;NA;65;8;0.00970421;13;~67;0.001152;0.003456
todd,ned,rod;32_matrix_add;RING;malhonest;brain;NA;NA;577;24;0.0342984;14;~579;0.009344;0.028032
todd,ned,rod;32_matrix_add;RING;malhonest;malicious-rep-ring;NA;NA;65;8;0.00664063;13;~67;0.001152;0.003456
todd,ned,rod;32_matrix_add;RING;malhonest;malicious-rep-ring;NA;NA;577;24;0.0347456;16;~579;0.009344;0.028032
todd,ned,rod;32_matrix_add;RING;malhonest;ps-rep-ring;NA;NA;65;8;0.00509617;14;~67;0.001152;0.003456
