nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;53544;929;3;240;2;0.0262485;12;NA;1.71366;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;120474;2089;3;240;3;0.0423369;11;NA;3.85574;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;214176;3713;3;240;4;0.0626177;12;NA;6.85466;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;334650;5801;3;240;5;0.0907354;13;NA;10.7104;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;481896;8353;3;240;6;0.122964;13;NA;15.423;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;655914;11369;3;240;7;0.154565;15;NA;20.9924;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;856704;14849;3;240;8;0.210996;14;NA;27.4186;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;1084266;18793;3;240;9;0.254553;14;NA;34.7017;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;1338600;23201;3;240;10;0.305278;15;NA;42.8416;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;1619706;28073;3;240;11;0.368667;15;NA;51.8383;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;1927584;33409;3;240;12;0.429073;17;NA;61.6919;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;2;0.0266956;12;NA;1.71366;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;3;0.0420493;11;NA;3.85574;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;4;0.0630888;12;NA;6.85466;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;5;0.0881898;14;NA;10.7104;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;6;0.121386;15;NA;15.423;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;7;0.163875;15;NA;20.9924;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;8;0.205208;13;NA;27.4186;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;9;0.250046;14;NA;34.7017;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;10;0.309028;17;NA;42.8416;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;11;0.370263;16;NA;51.8383;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;180;12;0.429954;19;NA;61.6919;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;2;0.0266571;12;NA;1.71366;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;3;0.0431695;10;NA;3.85574;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;4;0.0652258;12;NA;6.85466;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;5;0.0896005;12;NA;10.7104;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;6;0.119463;15;NA;15.423;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;7;0.158175;15;NA;20.9924;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;8;0.207286;14;NA;27.4186;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;9;0.250942;14;NA;34.7017;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;10;0.303609;15;NA;42.8416;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;11;0.367631;16;NA;51.8383;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;140;12;0.43076;17;NA;61.6919;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;2;0.0276859;12;NA;1.71366;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;3;0.0431544;12;NA;3.85574;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;4;0.0627711;12;NA;6.85466;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;5;0.0903177;13;NA;10.7104;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;6;0.120278;13;NA;15.423;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;7;0.158035;15;NA;20.9924;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;8;0.203599;14;NA;27.4186;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;9;0.24675;15;NA;34.7017;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;10;0.306727;15;NA;42.8416;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;11;0.3655;16;NA;51.8383;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;100;12;0.430245;19;NA;61.6919;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;60;2;0.027119;12;NA;1.71366;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;60;3;0.0418477;11;NA;3.85574;NA
todd,ned,rod;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;3;60;4;0.0824856;12;NA;6.85466;NA
