nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;244170;19141;30;0;2.08844;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;0.5;18.541;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;1;34.568;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;1.5;59.9433;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;2;93.541;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;2.5;127.537;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;3;145.381;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;3.5;166.534;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;244170;19141;30;0;0.120985;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;0.5;0.183015;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;1;0.341991;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;1.5;0.188539;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;2;0.463183;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;2.5;0.455308;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;3;1.18331;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;3.5;0.380692;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;244170;19141;30;0;117.799;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;0.5;135.862;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;1;243.713;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;1.5;430.848;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;2;610.933;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;2.5;798.27;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;3;1025.86;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;3.5;1282.15;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;244170;19141;30;0;1.33164;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;0.5;1.99061;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;1;3.88222;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;1.5;7.80314;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;2;14.9662;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;2.5;19.1771;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;3;26.5148;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;3.5;44.5139;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;244170;19141;30;0;2.58404;NA;29.8771;NA
