nodes;program;c.domain;adv.model;protocol;partysize;cpus;quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;40;10;7.34216;NA;~1697;86.1374;258.358
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;40;12;8.24109;NA;~2401;86.1487;258.382
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;40;14;7.50446;NA;~3233;86.162;258.41
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;40;16;7.30778;NA;~4193;86.1774;258.443
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;40;18;8.82932;NA;~5281;86.1948;258.48
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;40;20;10.5204;NA;~6523;131.311;393.779
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;80;10;3.71021;NA;~1697;86.1374;258.358
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;80;12;3.58571;NA;~2401;86.1487;258.382
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;80;14;3.95237;NA;~3233;86.162;258.41
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;80;16;3.46515;NA;~4193;86.1774;258.443
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;80;18;4.3185;NA;~5281;86.1948;258.48
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;2;80;20;5.01556;NA;~6523;131.311;393.779
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;40;10;7.4637;NA;~1697;86.1374;258.358
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;40;12;7.73204;NA;~2401;86.1487;258.382
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;40;14;8.1184;NA;~3233;86.162;258.41
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;40;16;8.76382;NA;~4193;86.1774;258.443
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;40;18;8.16905;NA;~5281;86.1948;258.48
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;40;20;11.2325;NA;~6523;131.311;393.779
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;80;10;4.24435;NA;~1697;86.1374;258.358
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;80;12;3.82786;NA;~2401;86.1487;258.382
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;80;14;3.70243;NA;~3233;86.162;258.41
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;80;16;3.70433;NA;~4193;86.1774;258.443
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;80;18;3.88509;NA;~5281;86.1948;258.48
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;4;80;20;5.07394;NA;~6523;131.311;393.779
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;40;10;7.91339;NA;~1697;86.1374;258.358
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;40;12;8.0128;NA;~2401;86.1487;258.382
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;40;14;8.31048;NA;~3233;86.162;258.41
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;40;16;8.3175;NA;~4193;86.1774;258.443
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;40;18;7.85255;NA;~5281;86.1948;258.48
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;40;20;10.0236;NA;~6523;131.311;393.779
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;80;10;3.97619;NA;~1697;86.1374;258.358
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;80;12;4.36778;NA;~2401;86.1487;258.382
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;80;14;3.94065;NA;~3233;86.162;258.41
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;80;16;3.46716;NA;~4193;86.1774;258.443
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;80;18;4.16054;NA;~5281;86.1948;258.48
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;6;80;20;5.00619;NA;~6523;131.311;393.779
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;40;10;0.30048;NA;~814;1.66618;3.55373
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;40;12;0.549806;NA;~1166;1.67181;3.56851
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;40;14;0.788804;NA;~1582;1.67846;3.58598
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;40;16;0.96032;NA;~2062;1.68614;3.60614
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;40;18;1.32378;NA;~2606;1.69485;3.62899
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;40;20;1.4953;NA;~3214;1.70458;3.65453
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;80;10;0.135305;NA;~814;1.66618;3.55373
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;80;12;0.1538;NA;~1166;1.67181;3.56851
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;80;14;0.310723;NA;~1582;1.67846;3.58598
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;80;16;0.314702;NA;~2062;1.68614;3.60614
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;80;18;0.536819;NA;~2606;1.69485;3.62899
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;2;80;20;0.630034;NA;~3214;1.70458;3.65453
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;40;10;0.510432;NA;~814;1.66618;3.55373
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;40;12;0.72583;NA;~1166;1.67181;3.56851
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;40;14;0.976124;NA;~1582;1.67846;3.58598
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;40;16;1.22531;NA;~2062;1.68614;3.60614
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;40;18;1.62623;NA;~2606;1.69485;3.62899
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;40;20;1.90721;NA;~3214;1.70458;3.65453
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;80;10;0.23226;NA;~814;1.66618;3.55373
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;80;12;0.327009;NA;~1166;1.67181;3.56851
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;80;14;0.413896;NA;~1582;1.67846;3.58598
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;80;16;0.540305;NA;~2062;1.68614;3.60614
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;80;18;0.762184;NA;~2606;1.69485;3.62899
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;4;80;20;0.958684;NA;~3214;1.70458;3.65453
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;6;40;10;0.696027;NA;~814;1.66618;3.55373
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;6;40;12;0.863268;NA;~1166;1.67181;3.56851
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;6;40;14;0.910781;NA;~1582;1.67846;3.58598
