nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;10;0.460645;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;200;5.00825;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;400;10.8533;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;600;14.7502;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;800;21.3486;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;1000;26.5939;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;1200;29.1695;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;1400;34.4787;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;1600;42.6876;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;1800;44.1198;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;240;2000;48.6225;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;10;0.457374;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;200;5.01785;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;400;9.96089;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;600;14.7473;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;800;21.4937;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;1000;24.4021;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;1200;32.1209;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;1400;37.1953;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;1600;43.5086;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;1800;47.9768;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;180;2000;48.5476;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;10;0.530397;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;200;5.43797;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;400;9.90981;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;600;16.0961;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;800;21.5208;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;1000;24.5002;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;1200;29.3179;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;1400;37.4078;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2.6;120;1600;42.4239;NA;~47216;2214.89;6627.44
