nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;10;3.36783;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;50;8.34894;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;100;14.0386;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;150;19.7728;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;200;25.4415;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;250;31.0897;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;300;37.6029;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;350;43.906;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;400;49.5965;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;450;55.4727;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;240;500;61.3707;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;10;3.42853;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;50;8.36977;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;100;14.0293;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;150;19.7883;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;200;25.5459;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;250;31.2055;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;300;37.62;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;350;49.2014;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;400;55.1768;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;450;62.0486;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;180;500;67.8608;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;10;3.61105;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;50;8.64413;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;100;14.4565;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;150;20.2007;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;200;25.9778;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;250;36.0209;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;300;38.1515;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;350;49.0239;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;400;50.5464;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;450;56.1569;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;140;500;68.5435;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;10;4.56014;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;50;9.93685;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;100;16.1763;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;150;23.7514;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;200;28.9486;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;250;35.2807;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;300;44.7491;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;350;52.5943;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;400;55.9438;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;450;62.4418;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;100;500;68.3767;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;10;6.69552;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;50;15.6007;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;100;24.3925;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;150;33.612;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;200;44.6013;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;250;53.8392;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;300;64.879;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;350;79.5117;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;400;83.6347;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;450;98.7133;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;60;500;105.52;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;10;3.40983;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;50;8.3586;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;100;15.4871;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;150;19.7406;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;200;25.4932;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;250;31.1029;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;300;41.6449;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;350;44.0151;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;400;49.8964;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;450;62.0818;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;240;500;61.1202;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;10;3.46326;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;50;8.40768;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;100;14.0792;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;150;19.8226;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;200;25.4495;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;250;31.1652;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;300;37.6392;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;350;48.7841;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;400;49.7324;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;450;62.1824;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;180;500;68.6162;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;10;3.60939;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;50;8.61327;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;100;15.8006;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;150;22.2062;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;200;28.3169;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;250;34.9888;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;300;38.0684;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;350;44.9219;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;400;56.0079;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;450;56.1653;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;140;500;62.1885;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;100;10;4.40579;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;100;50;9.84629;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2.2;100;100;16.3798;NA;~3428;853.872;2518.96
