nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;9;9;9;NA;NA;NA;NA;NA;NA;10;8;3;3;0.845857;NA;~105;41.0159;123.047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;36;36;36;NA;NA;NA;NA;NA;NA;37;8;3;6;0.841888;NA;~215;41.0174;123.051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;81;81;81;NA;NA;NA;NA;NA;NA;82;8;3;9;0.851806;NA;~395;41.0203;123.058;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;144;144;144;NA;NA;NA;NA;NA;NA;145;8;3;12;0.855062;NA;~647;41.0244;123.068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;225;225;225;NA;NA;NA;NA;NA;NA;226;8;3;15;0.862212;NA;~971;41.0295;123.081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;324;324;324;NA;NA;NA;NA;NA;NA;325;8;3;18;0.867497;NA;~1367;41.0359;123.097;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;441;441;441;NA;NA;NA;NA;NA;NA;442;8;3;21;0.880065;NA;~1835;41.0434;123.116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;576;576;576;NA;NA;NA;NA;NA;NA;577;8;3;24;0.88864;NA;~2375;41.052;123.137;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;729;729;729;NA;NA;NA;NA;NA;NA;730;8;3;27;0.903535;NA;~2987;41.0618;123.162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;900;900;900;NA;NA;NA;NA;NA;NA;901;8;3;30;0.915958;NA;~3671;41.0727;123.189;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;1089;1089;1089;NA;NA;NA;NA;NA;NA;1090;8;3;33;0.928756;NA;~4427;41.0848;123.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;3;0.843941;NA;~105;41.0159;123.047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;6;0.846774;NA;~215;41.0174;123.051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;9;0.844818;NA;~395;41.0203;123.058;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;12;0.877784;NA;~647;41.0244;123.068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;15;0.862093;NA;~971;41.0295;123.081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;18;0.869087;NA;~1367;41.0359;123.097;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;21;0.875502;NA;~1835;41.0434;123.116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;24;0.889615;NA;~2375;41.052;123.137;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2.2;27;0.899074;NA;~2987;41.0618;123.162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
