nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;5;0.00426659;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;10;0.0122637;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;15;0.025762;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;20;0.0452985;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;25;0.0677723;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;30;0.0977219;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;35;0.131176;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;40;0.171465;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;45;0.211441;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;50;0.260582;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;55;0.322465;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;60;0.387272;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;3;65;0.438438;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;5;0.0041145;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;10;0.01225;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;15;0.0251205;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;20;0.0442127;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;25;0.0681389;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;30;0.0945605;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;35;0.129599;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;40;0.168865;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;45;0.214705;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;50;0.267466;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;55;0.317831;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;60;0.379317;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2.2;65;0.441459;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;5;0.00466136;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;10;0.0127048;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;15;0.0261657;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;20;0.0454817;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;25;0.069234;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;30;0.101892;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;35;0.137909;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;40;0.185397;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;45;0.224139;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;50;0.27901;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;55;0.332893;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;60;0.403022;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;2;65;0.469119;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;5;0.00422215;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;10;0.0129086;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;15;0.0279377;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;20;0.0482452;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;25;0.0740931;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;30;0.104262;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;35;0.141159;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;8;1.8;40;0.178738;NA;~1601;0.0512;0.1536
