nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;3;3;3;NA;NA;NA;2184;1344;NA;172;3;240;3;5.37264;NA;~909;266.778;799.894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;4;4;4;NA;NA;NA;3744;2304;NA;293;3;240;4;6.78861;NA;~1453;357.097;1070.66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;5;5;5;NA;NA;NA;5720;3520;NA;446;3;240;5;8.91906;NA;~2159;492.594;1476.85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;6;6;6;NA;NA;NA;8112;4992;NA;631;3;240;6;13.0848;NA;~3027;673.267;2018.46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;7;7;7;NA;NA;NA;10920;6720;NA;848;3;240;7;14.6541;NA;~4015;853.894;2559.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;8;8;8;NA;NA;NA;14144;8704;NA;1097;3;240;8;21.102;NA;~5199;1124.86;3372.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;9;9;9;NA;NA;NA;17784;10944;NA;1378;3;240;9;25.1182;NA;~6477;1350.68;4049.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;10;10;10;NA;NA;NA;21840;13440;NA;1691;3;240;10;27.4678;NA;~7943;1666.77;4996.89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;11;11;11;NA;NA;NA;26312;16192;NA;2036;3;240;11;33.2114;NA;~9571;2028.04;6079.95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;maldishonest;mascot;3;12;12;12;NA;NA;NA;31200;19200;NA;2413;3;240;12;43.3479;NA;~11327;2389.33;7163.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
