nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;190320;117120;14671;100;30;696.788;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;95;30;728.803;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;90;30;765.755;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;85;30;805.172;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;80;30;851.57;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;75;30;902.891;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;70;30;963.768;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;65;30;1029.31;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;60;30;1110.26;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;55;30;1201;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;50;30;1310.91;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;45;30;1446.24;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;40;30;1611.66;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;35;30;1825.85;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;190320;117120;14671;100;30;3361.83;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;95;30;158.711;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;90;30;162.269;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;85;30;165.414;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;80;30;171.635;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;75;30;177.209;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;70;30;181.22;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;65;30;188.747;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;60;30;197.287;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;55;30;209.879;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;50;30;220.018;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;45;30;236.346;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;40;30;260.494;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;35;30;295.49;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;highgear;190320;117120;14671;100;30;7754.76;~65060;838.116;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;highgear;NA;NA;NA;95;30;312.028;~65060;838.119;2816.08
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;highgear;NA;NA;NA;90;30;320.136;~65060;838.119;2816.08
