nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;190320;117120;14671;0;100;30;697.231;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;90;30;764.24;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;80;30;850.568;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;70;30;963.855;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;60;30;1109.94;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;50;30;1311.41;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;40;30;1617.47;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;30;30;2112.28;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;20;30;3092;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;mascot;NA;NA;NA;0;10;30;6046.56;~68313;13995.7;41957.4
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;190320;117120;14671;0;100;30;35.1878;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;90;30;36.3243;~60551;169.064;367.858
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;80;30;38.3434;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;70;30;40.7993;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;60;30;44.1702;~60551;169.066;367.861
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;50;30;49.1718;~60551;169.065;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;40;30;56.5611;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;30;30;67.9292;~60551;169.066;367.861
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;20;30;88.7318;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;0;10;30;143.954;~60551;169.065;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;190320;117120;14671;0;100;30;35.9783;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;90;30;37.2268;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;0;80;30;38.7091;~59505;176.52;515.892
