nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;30;0;1.27413;NA;NA;4.7387;NA;4.8e-05;3;1.27182;4.8e-05;3;1.27378;0.000116;5;0.00215849;NA;NA;NA;4.73842;14044;1.15962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;2;11.3055;NA;NA;4.7387;NA;4.8e-05;3;11.3027;4.8e-05;3;11.3049;0.000116;5;0.00234068;NA;NA;NA;4.73842;14044;11.1656;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;4;59.5548;NA;NA;4.7387;NA;4.8e-05;3;59.5517;4.8e-05;3;59.5538;0.000116;5;0.208663;NA;NA;NA;4.73842;14044;59.1888;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;6;123.091;NA;NA;4.7387;NA;4.8e-05;3;123.088;4.8e-05;3;123.091;0.000116;5;0.0352921;NA;NA;NA;4.73842;14044;122.887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;8;238.795;NA;NA;4.7387;NA;4.8e-05;3;238.791;4.8e-05;3;238.801;0.000116;5;0.632256;NA;NA;NA;4.73842;14044;238.602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;10;485.54;NA;NA;4.7387;NA;4.8e-05;3;485.536;4.8e-05;3;485.541;0.000116;5;1.43607;NA;NA;NA;4.73842;14044;483.909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;30;0;2.63985;NA;NA;29.8771;NA;NA;NA;NA;NA;NA;NA;0.0011;51;0.057529;14.0307;101;0.126062;NA;NA;NA;7.92208;14090;1.69747;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;2;43.984;NA;NA;29.8771;NA;NA;NA;NA;NA;NA;NA;0.0011;51;1.55333;14.0307;101;4.81581;NA;NA;NA;7.92208;14090;38.3026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;4;143.662;NA;NA;29.8771;NA;NA;NA;NA;NA;NA;NA;0.0011;51;4.61436;14.0307;101;10.2192;NA;NA;NA;7.92208;14090;131.865;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;6;343.878;NA;NA;29.8771;NA;NA;NA;NA;NA;NA;NA;0.0011;51;8.74557;14.0307;101;23.7844;NA;NA;NA;7.92208;14090;320.714;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;8;666.263;NA;NA;29.8771;NA;NA;NA;NA;NA;NA;NA;0.0011;51;19.829;14.0307;101;41.8617;NA;NA;NA;7.92208;14090;622.743;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;10;1252.22;NA;NA;29.8771;NA;NA;NA;NA;NA;NA;NA;0.0011;51;27.2411;14.0307;101;155.654;NA;NA;NA;7.92208;14090;1089.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;30;0;4.12523;NA;NA;71.267;NA;9.6e-05;6;3.11704;9.6e-05;6;4.12338;0.0023;83;0.0182493;NA;NA;NA;71.2623;14072;1.70381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;2;18.0246;NA;NA;71.267;NA;9.6e-05;6;15.7512;9.6e-05;6;18.0246;0.0023;83;1.46492;NA;NA;NA;71.2623;14072;14.1125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;4;63.6383;NA;NA;71.267;NA;9.6e-05;6;57.9438;9.6e-05;6;63.8498;0.0023;83;1.42896;NA;NA;NA;71.2623;14072;59.5706;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
