nodes;program;c.domain;adv.model;protocol;partysize;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;30;6;367.175;NA;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;3;30;8;759.914;NA;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;30;6;154.036;NA;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;30;8;327.417;NA;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;6;268.061;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;3;30;8;424.224;NA;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;30;6;265.113;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;3;30;8;449.637;NA;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;3;30;6;379.946;NA;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;3;30;8;676.037;NA;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;6;250.427;NA;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;3;30;8;415.31;NA;~14711;7.18416;21.7125
