nodes;program;c.domain;adv.model;protocol;partysize;bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;100000;30;1262.7;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;90000;30;1277.01;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;80000;30;1248.66;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;70000;30;1242.38;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;60000;30;1275.32;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;50000;30;1263.14;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;40000;30;1266.45;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;30000;30;1297.16;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;20000;30;1309.92;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;10000;30;1315.23;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;100000;30;126.913;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;90000;30;127.355;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;80000;30;127.3;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;70000;30;125.52;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;60000;30;125.014;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;50000;30;124.882;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;40000;30;127.556;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;30000;30;128.825;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;20000;30;127.857;NA;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;10000;30;132.103;NA;NA;26332.8;NA
