nodes;program;c.domain;adv.model;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;100;30;36.0613;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;90;30;37.3278;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;80;30;39.0598;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;70;30;41.1758;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;60;30;44.2511;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;50;30;48.4122;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;40;30;54.196;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;30;30;64.3143;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;20;30;85.0389;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;10;10;30;146.945;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;100;30;35.9243;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;90;30;37.2346;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;80;30;38.9371;NA;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;70;30;41.3445;NA;~59505;176.519;515.89
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;60;30;43.9695;NA;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;50;30;47.9169;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;40;30;54.1877;NA;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;30;30;65.0631;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;20;30;85.9336;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;20;10;30;148.175;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;100;30;35.7823;NA;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;90;30;37.2408;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;80;30;38.8103;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;70;30;41.2271;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;60;30;44.2427;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;50;30;48.849;NA;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;40;30;54.2636;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;30;30;64.5558;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;20;30;86.4009;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;10;30;148.791;NA;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;100;30;35.9753;NA;~59505;176.519;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;90;30;37.4806;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;80;30;39.1259;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;70;30;41.0487;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;60;30;44.4044;NA;~59505;176.52;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;50;30;48.9391;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;40;30;54.8087;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;30;30;64.6714;NA;~59505;176.519;515.89
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;20;30;86.4647;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;40;10;30;148.401;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;100;30;36.1712;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;90;30;37.5728;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;80;30;39.2353;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;70;30;41.5219;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;60;30;44.6412;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;50;30;48.4256;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;40;30;55.8443;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;30;30;66.7545;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;20;30;86.4031;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;50;10;30;148.356;NA;~59505;176.519;515.89
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;100;30;36.1271;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;90;30;37.6535;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;80;30;39.3607;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;70;30;41.5886;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;60;30;44.5671;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;50;30;49.0497;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;40;30;55.4395;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;30;30;66.327;NA;~59505;176.519;515.89
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;20;30;86.9471;NA;~59505;176.519;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;60;10;30;148.912;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;100;30;35.9643;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;90;30;37.581;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;80;30;39.3504;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;70;30;41.4459;NA;~59505;176.519;515.89
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;60;30;44.5054;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;50;30;48.5042;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;40;30;56.0655;NA;~59505;176.519;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;30;30;66.7801;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;20;30;87.3293;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;70;10;30;148.815;NA;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;80;100;30;35.805;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;80;90;30;37.3532;NA;~59505;176.519;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;80;80;30;39.4143;NA;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;80;70;30;41.4239;NA;~59505;176.52;515.892
