protocol    input_size  measurement
unsealdmpc  200         1.057295287
unsealdmpc  400         1.051364012
unsealdmpc  600         3.447411855
unsealdmpc  800         3.381366537
unsealdmpc  1000        1.048104227
unsealdmpc  1200        3.411170819
unsealdmpc  1400        3.449663389
unsealdmpc  1600        3.451548303
unsealdmpc  1800        1.045686568
unsealdmpc  2000        3.377368473
unsealdmpc  2200        2.355230988
unsealdmpc  2400        2.358299744
unsealdmpc  2600        2.275847217
unsealdmpc  2800        2.405214771
unsealdmpc  3000        2.317778433
unsealdmpc  3200        1.058014381
unsealdmpc  3400        3.416374510
unsealdmpc  3600        1.039171620
unsealdmpc  3800        2.332593222
unsealdmpc  4000        2.339608353
unsealdmpc  4200        2.344285267
unsealdmpc  4400        2.385889363
unsealdmpc  4600        2.347020390
unsealdmpc  4800        2.319351676
unsealdmpc  5000        2.328223652
unsealdmpc  5200        3.390759545
unsealdmpc  5400        1.050591495
unsealdmpc  5600        3.395814461
unsealdmpc  5800        3.418794503
unsealdmpc  6000        3.458475015
unsealdmpc  6200        1.040910024
unsealdmpc  6400        2.356941212
unsealdmpc  6600        2.392338001
unsealdmpc  6800        2.326186699
unsealdmpc  7000        3.458267735
unsealdmpc  7200        3.431343672
unsealdmpc  7400        3.384070369
unsealdmpc  7600        3.401438736
unsealdmpc  7800        3.412409818
unsealdmpc  8000        2.384993537
unsealdmpc  8200        1.076892527
unsealdmpc  8400        1.048107254
unsealdmpc  8600        1.044087039
unsealdmpc  8800        3.386733431
unsealdmpc  9000        1.047324230
unsealdmpc  9200        1.091884681
unsealdmpc  9400        2.320095489
unsealdmpc  9600        2.349561791
unsealdmpc  9800        1.055807960
unsealdmpc  10000       2.295766677
