nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;10;0.110924;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;20;0.348496;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;30;0.71589;NA;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;40;1.17706;NA;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;50;1.79694;NA;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;60;2.60285;NA;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;70;3.55921;NA;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;80;4.48955;NA;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;90;5.78596;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;100;7.05337;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;110;8.52373;NA;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;120;10.2677;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;130;11.8573;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;140;13.9855;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;150;15.7119;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;160;17.7432;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;170;20.0376;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;180;22.0251;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;190;25.1622;NA;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;200;27.5444;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;10;0.110542;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;20;0.335143;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;30;0.70569;NA;NA;4.7387;NA
