nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;640;640;640;NA;NA;30590;2781;1.4;10;0.159098;NA;NA;1.31998;NA;4.8e-05;3;0.156603;4.8e-05;3;0.158863;0.000116;5;0.00141684;NA;NA;NA;1.3197;1884;0.124286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;1280;1280;1280;NA;NA;111980;9161;1.4;20;0.533653;NA;NA;2.62294;NA;4.8e-05;3;0.531589;4.8e-05;3;0.532601;0.000116;5;0.00160957;NA;NA;NA;2.62266;6564;0.476542;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;1.4;30;1.01048;NA;NA;4.7387;NA;4.8e-05;3;1.00755;4.8e-05;3;1.01037;0.000116;5;0.00135015;NA;NA;NA;4.73842;14044;0.916106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;2560;2560;2560;NA;NA;427160;32721;1.4;40;1.80611;NA;NA;7.66726;NA;4.8e-05;3;1.80333;4.8e-05;3;1.8056;0.000116;5;0.00122722;NA;NA;NA;7.66698;24324;1.65646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;3200;3200;3200;NA;NA;660950;49901;1.4;50;2.70789;NA;NA;11.4086;NA;4.8e-05;3;2.70482;4.8e-05;3;2.7075;0.000116;5;0.00178256;NA;NA;NA;11.4083;37404;2.49522;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;3840;3840;3840;NA;NA;945540;70681;1.4;60;3.81231;NA;NA;16.7925;NA;6.4e-05;4;1.17659;6.4e-05;4;3.81129;0.0002;8;0.00306707;NA;NA;NA;16.792;53287;3.50148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;4480;4480;4480;NA;NA;1280930;95061;1.4;70;5.21692;NA;NA;22.1595;NA;6.4e-05;4;2.50907;6.4e-05;4;5.21665;0.0002;8;0.00260312;NA;NA;NA;22.159;71967;4.81213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;5120;5120;5120;NA;NA;1667120;123041;1.4;80;6.80959;NA;NA;29.1689;NA;8e-05;5;1.40769;8e-05;5;6.8094;0.000284;11;0.00281556;NA;NA;NA;29.1683;93450;6.26725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;5760;5760;5760;NA;NA;2104110;154621;1.4;90;8.53436;NA;NA;36.9912;NA;9.6e-05;6;0.465301;9.6e-05;6;8.53407;0.000368;14;0.00458593;NA;NA;NA;36.9904;117733;7.86275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;6400;6400;6400;NA;NA;2591900;189801;1.4;100;10.2863;NA;NA;44.7966;NA;9.6e-05;6;2.37391;9.6e-05;6;10.2862;0.000368;14;0.0039229;NA;NA;NA;44.7957;144813;9.42295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;7040;7040;7040;NA;NA;3130490;228581;1.4;110;12.7501;NA;NA;54.2445;NA;0.000112;7;1.91503;0.000112;7;12.75;0.000452;17;0.00504676;NA;NA;NA;54.2434;174696;11.7644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;7680;7680;7680;NA;NA;3719880;270961;1.4;120;15.0284;NA;NA;64.5051;NA;0.000128;8;1.65544;0.000128;8;15.0283;0.000536;20;0.00505273;NA;NA;NA;64.5039;207379;13.8363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;8320;8320;8320;NA;NA;4360070;316941;1.4;130;17.5493;NA;NA;75.5786;NA;0.000144;9;1.50719;0.000144;9;17.5485;0.00062;23;0.00554828;NA;NA;NA;75.5772;242862;16.1634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;8960;8960;8960;NA;NA;5051060;366521;1.4;140;20.7494;NA;NA;87.4649;NA;0.00016;10;1.63897;0.00016;10;20.7502;0.000704;26;0.00704864;NA;NA;NA;87.4633;281145;19.1418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;9600;9600;9600;NA;NA;5792850;419701;1.4;150;24.0664;NA;NA;100.164;NA;0.000176;11;1.97331;0.000176;11;24.0658;0.000788;29;0.0079041;NA;NA;NA;100.162;322228;22.2685;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;10240;10240;10240;NA;NA;6585440;476481;1.4;160;26.5753;NA;NA;113.676;NA;0.000192;12;2.43618;0.000192;12;26.575;0.000872;32;0.00910628;NA;NA;NA;113.674;366111;24.573;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;10880;10880;10880;NA;NA;7428830;536861;1.4;170;30.3005;NA;NA;128.83;NA;0.000224;14;0.577638;0.000224;14;30.3005;0.00104;38;0.0126681;NA;NA;NA;128.828;412797;27.9219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;11520;11520;11520;NA;NA;8323020;600841;1.4;180;33.5356;NA;NA;143.968;NA;0.00024;15;1.47946;0.00024;15;33.5366;0.001124;41;0.0134569;NA;NA;NA;143.965;462280;30.9358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;12160;12160;12160;NA;NA;9268010;668421;1.4;190;36.7563;NA;NA;159.918;NA;0.000256;16;2.50694;0.000256;16;36.7563;0.001208;44;0.0125685;NA;NA;NA;159.915;514563;33.834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;12800;12800;12800;NA;NA;10263800;739601;1.4;200;40.5148;NA;NA;177.511;NA;0.000288;18;1.24404;0.000288;18;40.515;0.001376;50;0.0126021;NA;NA;NA;177.508;569649;37.2749;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
