nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;3;1.36;20;0.00640851;0.11;15;58;~16;0.017577;0.047739
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;3;1.73;30;0.00753165;0.11;16;63;~16;0.019697;0.051539
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;3;2.31;40;0.00764709;0.10;16;59;~16;0.021817;0.055339
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;shamir;3;1.36;20;0.00404249;0.10;14;52;~8;0.005081;0.010251
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;shamir;3;1.73;30;0.00521736;0.11;15;61;~8;0.007621;0.015311
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;shamir;3;2.31;40;0.00660899;0.11;15;50;~8;0.010161;0.020371
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;3;1.17;20;0.00261654;0.10;14;56;~10;0.002564;0.005196
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;3;1.73;30;0.0045434;0.10;15;49;~10;0.003834;0.007726
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;3;2.29;40;0.004501;0.11;15;63;~10;0.005104;0.010256
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;3;1.17;20;0.00443487;0.07;11;60;NA;0.005081;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;3;1.72;30;0.00543441;0.07;11;55;NA;0.007621;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;3;2.28;40;0.00632476;0.07;14;71;NA;0.010161;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;1.17;20;0.0167354;0.04;11;64;NA;0.040321;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;1.72;30;0.0174289;0.05;14;63;NA;0.060481;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;2.28;40;0.0187575;0.06;12;77;NA;0.080641;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;1.17;20;0.730294;0.80;82;109;NA;26.2869;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;1.72;30;0.731075;0.81;82;108;NA;26.2907;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;2.28;40;0.766748;0.85;83;108;NA;26.2945;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;1.17;20;0.43419;0.50;198;152;NA;21.8171;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;1.72;30;0.481156;0.55;201;145;NA;21.8373;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;2.28;40;0.427308;0.51;198;151;NA;21.8574;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;1.17;20;0.0357187;0.08;19;64;NA;0.851264;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;1.72;30;0.0402582;0.10;17;71;NA;0.861984;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;2.28;40;0.0396846;0.11;17;69;NA;0.872704;NA
