nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;0.78;NA;NA;NA;640;64;NA;NA;NA;630;19;10;0.0032813;0.10;14;44;~10;0.001294;0.002666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;11.52;NA;NA;NA;12800;64;NA;NA;NA;12600;209;200;0.0150452;0.21;22;69;~10;0.025424;0.050736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;22.95;NA;NA;NA;25600;64;NA;NA;NA;25200;409;400;0.0236818;0.29;32;79;~10;0.050824;0.101336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;34.94;NA;NA;NA;38400;64;NA;NA;NA;37800;609;600;0.040695;0.38;45;84;~10;0.076224;0.151936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;46.22;NA;NA;NA;51200;64;NA;NA;NA;50400;809;800;0.0497592;0.45;47;86;~10;0.101624;0.202536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;58.41;NA;NA;NA;64000;64;NA;NA;NA;63000;1009;1000;0.0601959;0.53;54;86;~10;0.127024;0.253136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;69.46;NA;NA;NA;76800;64;NA;NA;NA;75600;1209;1200;0.0797764;0.65;83;88;~10;0.152424;0.303736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;80.08;NA;NA;NA;89600;64;NA;NA;NA;88200;1409;1400;0.0902647;0.71;80;89;~10;0.177824;0.354336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;93.70;NA;NA;NA;102400;64;NA;NA;NA;100800;1609;1600;0.0924993;0.79;81;87;~10;0.203224;0.404936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;103.95;NA;NA;NA;115200;64;NA;NA;NA;113400;1809;1800;0.104274;0.86;88;90;~10;0.228624;0.455536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
