program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
35;BINARY;maldishonest;tinier;3;0.79;28;NA;NA;NA;192;192;192;NA;NA;3843;457;3;0.826727;0.90;81;98;NA;26.2957;NA;0.951798;554;0.0122716;0.952182;556;0.851597;0.000584;25;0.0228448;9.6e-05;3;0.767482;NA;NA;NA;NA;NA;NA;0.008542;6;0.00291615;25.0102;64;1.00687;0.323584;2;1.54979;0.323584;2;1.57222;0.000192;1;0.764914
35;BINARY;maldishonest;tinier;3;0.65;25;NA;NA;NA;384;384;384;NA;NA;12258;1237;6;1.66502;1.74;87;100;NA;52.2517;NA;1.92184;1606;0.0304016;1.9226;1608;1.79184;0.000784;33;0.0368984;9.6e-05;3;1.60378;NA;NA;NA;NA;NA;NA;0.008542;6;0.00682944;49.9953;112;1.38337;0.323584;2;3.22302;0.323584;2;3.2466;0.000384;1;1.6001
35;BINARY;maldishonest;tinier;3;0.69;26;NA;NA;NA;576;576;576;NA;NA;25245;2341;9;2.47469;2.56;87;100;NA;78.226;NA;2.91016;3162;0.0425325;2.91131;3164;2.73486;0.000984;41;0.0577284;9.6e-05;3;2.41259;NA;NA;NA;NA;NA;NA;0.008542;6;0.00391632;74.9805;160;1.83087;0.323584;2;4.83864;0.323584;2;4.86091;0.000576;1;2.40902
35;BINARY;maldishonest;tinier;3;0.74;27;NA;NA;NA;768;768;768;NA;NA;42804;3769;12;3.35799;3.43;89;96;NA;104.219;NA;3.91678;5222;0.0704852;3.91831;5224;3.84167;0.001184;49;0.0832668;9.6e-05;3;3.30643;NA;NA;NA;NA;NA;NA;0.008542;6;0.00494908;99.9657;208;2.38562;0.323584;2;6.62836;0.323584;2;6.65037;0.000768;1;3.30285
35;BINARY;maldishonest;tinier;3;0.79;29;NA;NA;NA;960;960;960;NA;NA;64935;5521;15;5.21022;5.29;84;94;NA;156.151;NA;5.87767;7794;0.094375;5.87959;7796;5.92408;0.001584;65;0.100807;9.6e-05;3;5.15439;NA;NA;NA;NA;NA;NA;0.008542;6;0.0026097;149.936;304;3.35071;0.323584;2;10.3213;0.323584;2;10.3444;0.00096;1;5.15114
35;BINARY;maldishonest;tinier;3;0.83;30;NA;NA;NA;1152;1152;1152;NA;NA;91638;7597;18;6.65718;6.73;85;98;NA;208.102;NA;7.85686;10870;0.140919;7.85916;10872;7.62618;0.001984;81;0.134542;9.6e-05;3;6.60086;NA;NA;NA;NA;NA;NA;0.008542;6;0.00282106;199.906;400;4.18571;0.323584;2;13.2158;0.323584;2;13.2383;0.001152;1;6.59749
35;BINARY;maldishonest;tinier;3;0.91;32;NA;NA;NA;1344;1344;1344;NA;NA;122913;9997;21;9.24989;9.33;84;98;NA;285.992;NA;10.7903;14458;0.207806;10.793;14460;10.6103;0.002584;105;0.160628;9.6e-05;3;9.18948;NA;NA;NA;NA;NA;NA;0.008542;6;0.00309085;274.862;544;5.42675;0.323584;2;18.3938;0.323584;2;18.4173;0.001344;1;9.18579
35;BINARY;maldishonest;tinier;3;0.95;33;NA;NA;NA;1536;1536;1536;NA;NA;158760;12721;24;12.1557;12.23;89;95;NA;363.901;NA;13.7421;18550;0.247497;13.7451;18552;13.9537;0.003184;129;0.272058;9.6e-05;3;12.1019;NA;NA;NA;NA;NA;NA;0.008542;6;0.00231594;349.817;688;6.72049;0.323584;2;24.2187;0.323584;2;24.241;0.001536;1;12.098
35;BINARY;maldishonest;tinier;3;0.99;34;NA;NA;NA;1728;1728;1728;NA;NA;199179;15769;27;14.2169;14.30;86;98;NA;441.828;NA;16.7121;23146;0.324055;16.7156;23148;16.3972;0.003784;153;0.35882;9.6e-05;3;14.1604;NA;NA;NA;NA;NA;NA;0.008542;6;0.00725138;424.773;832;8.17005;0.323584;2;28.3346;0.323584;2;28.3567;0.001728;1;14.1566
35;BINARY;maldishonest;tinier;3;1.04;36;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;30;18.1213;18.19;89;95;NA;545.695;NA;20.6364;28254;0.351439;20.6403;28256;20.811;0.004584;185;0.433563;9.6e-05;3;18.0674;NA;NA;NA;NA;NA;NA;0.008542;6;0.00110962;524.714;1024;10.0828;0.323584;2;36.1491;0.323584;2;36.172;0.00192;1;18.0635
35;BINARY;maldishonest;tinier;3;1.11;38;NA;NA;NA;2112;2112;2112;NA;NA;293733;22837;33;20.9574;21.04;85;98;NA;649.581;NA;24.5791;33866;0.490032;24.5833;33868;24.1871;0.005384;217;0.375529;9.6e-05;3;20.9021;NA;NA;NA;NA;NA;NA;0.008542;6;0.00107119;624.654;1216;11.7007;0.323584;2;41.8186;0.323584;2;41.8418;0.002112;1;20.898
35;BINARY;maldishonest;tinier;3;1.14;39;NA;NA;NA;2304;2304;2304;NA;NA;347868;26857;36;25.3623;25.45;83;94;NA;753.484;NA;28.54;39982;0.517548;28.5446;39984;29.2381;0.006184;249;0.439099;9.6e-05;3;25.3113;NA;NA;NA;NA;NA;NA;0.008542;6;0.0055554;724.595;1408;13.7253;0.323584;2;50.6355;0.323584;2;50.6576;0.002304;1;25.3074
35;BINARY;maldishonest;tinier;3;1.18;41;NA;NA;NA;2496;2496;2496;NA;NA;406575;31201;39;29.2127;29.29;90;95;NA;883.328;NA;33.4551;46610;0.559076;33.4601;46612;33.4732;0.007184;289;0.883654;9.6e-05;3;29.1557;NA;NA;NA;NA;NA;NA;0.008542;6;0.00691857;849.521;1648;17.6674;0.323584;2;58.3253;0.323584;2;58.3485;0.002496;1;29.152
35;BINARY;maldishonest;tinier;3;1.22;42;NA;NA;NA;2688;2688;2688;NA;NA;469854;35869;42;33.4887;33.57;89;99;NA;1039.11;NA;39.3246;53750;0.778387;39.33;53752;38.6748;0.008384;337;0.860424;9.6e-05;3;33.4352;NA;NA;NA;NA;NA;NA;0.008542;6;0.00127231;999.432;1936;18.3256;0.323584;2;66.8841;0.323584;2;66.9075;0.002688;1;33.4312
35;BINARY;maldishonest;tinier;3;1.31;43;NA;NA;NA;2880;2880;2880;NA;NA;537705;40861;45;38.9979;39.08;89;95;NA;1168.99;NA;44.2764;61386;0.844115;44.2821;61388;44.7825;0.009384;377;1.0668;9.6e-05;3;38.9441;NA;NA;NA;NA;NA;NA;0.008542;6;0.00340867;1124.36;2176;23.1975;0.323584;2;77.9015;0.323584;2;77.925;0.00288;1;38.94
35;BINARY;maldishonest;tinier;3;1.34;44;NA;NA;NA;3072;3072;3072;NA;NA;610128;46177;48;42.4333;42.51;89;98;NA;1324.81;NA;50.1824;69534;0.90802;50.1885;69536;49.2199;0.010584;425;1.13612;9.6e-05;3;42.3779;NA;NA;NA;NA;NA;NA;0.008542;6;0.00773123;1274.27;2464;23.3726;0.323584;2;84.7704;0.323584;2;84.7934;0.003072;1;42.3741
35;BINARY;maldishonest;tinier;3;1.37;46;NA;NA;NA;3264;3264;3264;NA;NA;687123;51817;51;48.1143;48.20;90;97;NA;1506.57;NA;57.0427;78194;0.937075;57.0492;78196;55.8434;0.011984;481;1.27421;9.6e-05;3;48.0589;NA;NA;NA;NA;NA;NA;0.008542;6;0.00256519;1449.17;2800;26.3528;0.323584;2;96.1316;0.323584;2;96.154;0.003264;1;48.0552
35;BINARY;maldishonest;tinier;3;1.43;47;NA;NA;NA;3456;3456;3456;NA;NA;768690;57781;54;53.8656;53.95;93;97;NA;1688.35;NA;63.9213;87358;0.993132;63.9282;87360;62.5604;0.013384;537;1.45424;9.6e-05;3;53.8094;NA;NA;NA;NA;NA;NA;0.008542;6;0.00648067;1624.06;3136;29.4904;0.323584;2;107.633;0.323584;2;107.656;0.003456;1;53.8051
35;BINARY;maldishonest;tinier;3;1.48;50;NA;NA;NA;3648;3648;3648;NA;NA;854829;64069;57;59.7406;59.82;90;98;NA;1870.14;NA;70.8182;97026;1.22928;70.8255;97028;69.2574;0.014784;593;1.57791;9.6e-05;3;59.688;NA;NA;NA;NA;NA;NA;0.008542;6;0.00216228;1798.96;3472;32.6053;0.323584;2;119.389;0.323584;2;119.413;0.003648;1;59.684
35;BINARY;maldishonest;tinier;3;1.51;52;NA;NA;NA;3840;3840;3840;NA;NA;945540;70681;60;65.7389;65.82;91;98;NA;2051.96;NA;77.7334;107198;1.3912;77.7411;107200;76.2414;0.016184;649;1.72438;9.6e-05;3;65.6812;NA;NA;NA;NA;NA;NA;0.008542;6;0.00255832;1973.85;3808;35.9606;0.323584;2;131.377;0.323584;2;131.402;0.00384;1;65.677
35;BINARY;maldishonest;tinier;3;1.57;53;NA;NA;NA;4032;4032;4032;NA;NA;1040823;77617;63;75.2788;75.36;91;94;NA;2259.71;NA;85.6029;117882;1.41925;85.6109;117884;86.8835;0.017784;713;1.70011;9.6e-05;3;75.2262;NA;NA;NA;NA;NA;NA;0.008542;6;0.00183851;2173.74;4192;39.8892;0.323584;2;150.466;0.323584;2;150.49;0.004032;1;75.2222
35;BINARY;maldishonest;tinier;3;1.62;54;NA;NA;NA;4224;4224;4224;NA;NA;1140678;84877;66;79.8995;79.98;92;98;NA;2493.41;NA;94.4266;129078;1.61407;94.4351;129080;92.5341;0.019584;785;2.13844;9.6e-05;3;79.8418;NA;NA;NA;NA;NA;NA;0.008542;6;0.00382829;2398.6;4624;43.1327;0.323584;2;159.697;0.323584;2;159.722;0.004224;1;79.8376
35;BINARY;maldishonest;tinier;3;1.72;56;NA;NA;NA;4416;4416;4416;NA;NA;1245105;92461;69;87.1854;87.26;93;98;NA;2701.2;NA;102.333;140770;1.75352;102.342;140772;101.164;0.021184;849;2.24764;9.6e-05;3;87.1328;NA;NA;NA;NA;NA;NA;0.008542;6;0.0015213;2598.48;5008;46.9864;0.323584;2;174.28;0.323584;2;174.304;0.004416;1;87.1289
35;BINARY;maldishonest;tinier;3;1.76;57;NA;NA;NA;4608;4608;4608;NA;NA;1354104;100369;72;94.353;94.43;91;97;NA;2934.93;NA;111.193;152974;1.80103;111.202;152976;109.591;0.022984;921;2.48938;9.6e-05;3;94.3002;NA;NA;NA;NA;NA;NA;0.008542;6;0.00244876;2823.35;5440;51.2863;0.323584;2;188.614;0.323584;2;188.637;0.004608;1;94.2961
35;BINARY;maldishonest;tinier;3;1.79;58;NA;NA;NA;4800;4800;4800;NA;NA;1467675;108601;75;106.044;106.13;91;94;NA;3194.6;NA;121.008;165690;1.98836;121.017;165692;122.089;0.024984;1001;2.60152;9.6e-05;3;105.99;NA;NA;NA;NA;NA;NA;0.008542;6;0.0014734;3073.2;5920;56.4385;0.323584;2;211.993;0.323584;2;212.018;0.0048;1;105.986
35;BINARY;maldishonest;tinier;3;1.82;60;NA;NA;NA;4992;4992;4992;NA;NA;1585818;117157;78;114.698;114.78;93;94;NA;3454.29;NA;130.841;178910;2.07025;130.85;178912;132.474;0.026984;1081;2.65407;9.6e-05;3;114.644;NA;NA;NA;NA;NA;NA;0.008542;6;0.00159536;3323.05;6400;60.0981;0.323584;2;229.301;0.323584;2;229.324;0.004992;1;114.64
35;BINARY;maldishonest;tinier;3;1.88;61;NA;NA;NA;5184;5184;5184;NA;NA;1708533;126037;81;119.076;119.16;94;98;NA;3714;NA;140.692;192634;2.34514;140.702;192636;138.191;0.028984;1161;3.0468;9.6e-05;3;119.022;NA;NA;NA;NA;NA;NA;0.008542;6;0.00240515;3572.91;6880;64.1928;0.323584;2;238.058;0.323584;2;238.081;0.005184;1;119.018
35;BINARY;maldishonest;tinier;3;1.89;62;NA;NA;NA;5376;5376;5376;NA;NA;1835820;135241;84;127.392;127.48;93;97;NA;3973.72;NA;150.561;206862;2.46216;150.572;206864;147.956;0.030984;1241;3.37361;9.6e-05;3;127.337;NA;NA;NA;NA;NA;NA;0.008542;6;0.0011338;3822.76;7360;69.1623;0.323584;2;254.687;0.323584;2;254.712;0.005376;1;127.333
35;BINARY;maldishonest;tinier;3;1.97;63;NA;NA;NA;5568;5568;5568;NA;NA;1967679;144769;87;136.781;136.87;90;97;NA;4259.39;NA;161.385;221602;2.68433;161.396;221604;158.898;0.033184;1329;3.56033;9.6e-05;3;136.728;NA;NA;NA;NA;NA;NA;0.008542;6;0.00140972;4097.59;7888;73.6241;0.323584;2;273.47;0.323584;2;273.494;0.005568;1;136.725
35;BINARY;maldishonest;tinier;3;2.02;65;NA;NA;NA;5760;5760;5760;NA;NA;2104110;154621;90;146.392;146.48;91;98;NA;4570.99;NA;173.163;236854;2.86945;173.174;236856;170.238;0.035584;1425;3.84003;9.6e-05;3;146.338;NA;NA;NA;NA;NA;NA;0.008542;6;0.00153904;4397.42;8464;78.3768;0.323584;2;292.69;0.323584;2;292.714;0.00576;1;146.334
35;BINARY;maldishonest;tinier;3;2.08;67;NA;NA;NA;5952;5952;5952;NA;NA;2245113;164797;93;156.318;156.40;92;97;NA;4882.62;NA;184.959;252610;3.16536;184.971;252612;181.359;0.037984;1521;4.12778;9.6e-05;3;156.263;NA;NA;NA;NA;NA;NA;0.008542;6;0.00242822;4697.24;9040;84.1726;0.323584;2;312.539;0.323584;2;312.563;0.005952;1;156.259
