program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
35       BINARY    maldishonest   tinier             3          0.79          28                 3           0.826727             0.90                 81            98         NA            26.2957         NA
35       BINARY    maldishonest   tinier             3          0.65          25                 6           1.66502              1.74                 87            100        NA            52.2517         NA
35       BINARY    maldishonest   tinier             3          0.69          26                 9           2.47469              2.56                 87            100        NA            78.226          NA
35       BINARY    maldishonest   tinier             3          0.74          27                 12          3.35799              3.43                 89            96         NA            104.219         NA
35       BINARY    maldishonest   tinier             3          0.79          29                 15          5.21022              5.29                 84            94         NA            156.151         NA
35       BINARY    maldishonest   tinier             3          0.83          30                 18          6.65718              6.73                 85            98         NA            208.102         NA
35       BINARY    maldishonest   tinier             3          0.91          32                 21          9.24989              9.33                 84            98         NA            285.992         NA
35       BINARY    maldishonest   tinier             3          0.95          33                 24          12.1557              12.23                89            95         NA            363.901         NA
35       BINARY    maldishonest   tinier             3          0.99          34                 27          14.2169              14.30                86            98         NA            441.828         NA
35       BINARY    maldishonest   tinier             3          1.04          36                 30          18.1213              18.19                89            95         NA            545.695         NA
35       BINARY    maldishonest   tinier             3          1.11          38                 33          20.9574              21.04                85            98         NA            649.581         NA
35       BINARY    maldishonest   tinier             3          1.14          39                 36          25.3623              25.45                83            94         NA            753.484         NA
35       BINARY    maldishonest   tinier             3          1.18          41                 39          29.2127              29.29                90            95         NA            883.328         NA
35       BINARY    maldishonest   tinier             3          1.22          42                 42          33.4887              33.57                89            99         NA            1039.11         NA
35       BINARY    maldishonest   tinier             3          1.31          43                 45          38.9979              39.08                89            95         NA            1168.99         NA
35       BINARY    maldishonest   tinier             3          1.34          44                 48          42.4333              42.51                89            98         NA            1324.81         NA
35       BINARY    maldishonest   tinier             3          1.37          46                 51          48.1143              48.20                90            97         NA            1506.57         NA
35       BINARY    maldishonest   tinier             3          1.43          47                 54          53.8656              53.95                93            97         NA            1688.35         NA
35       BINARY    maldishonest   tinier             3          1.48          50                 57          59.7406              59.82                90            98         NA            1870.14         NA
