program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)        Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
31       FIELD     semihonest     replicated-field    3          0.34          28                 10            1             NA            NA            NA            NA           1040          630              NA               73             10          0.0229703            0.11                 17            55         ~75           0.330416        0.830944         NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 400           1             NA            NA            NA            NA           41600         25200            NA               2803           400         0.517247             0.60                 15            97         ~2813         1.69602         5.23526          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 800           1             NA            NA            NA            NA           83200         50400            NA               5603           800         1.12412              1.21                 16            98         ~5621         3.23202         9.67046          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 1200          1             NA            NA            NA            NA           124800        75600            NA               8403           1200        1.50598              1.60                 15            103        ~8429         4.76802         14.1057          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 1600          1             NA            NA            NA            NA           166400        100800           NA               11203          1600        2.11863              2.20                 18            104        ~11237        6.14402         18.5409          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 2000          1             NA            NA            NA            NA           208000        126000           NA               14003          2000        2.80424              2.89                 15            100        ~14045        7.68002         22.9761          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 2400          1             NA            NA            NA            NA           249600        151200           NA               16803          2400        3.18564              3.28                 15            95         ~16853        9.21602         27.4113          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 2800          1             NA            NA            NA            NA           291200        176400           NA               19603          2800        3.73421              3.83                 16            104        ~19663        10.912          32.6465          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 3200          1             NA            NA            NA            NA           332800        201600           NA               22403          3200        4.02183              4.10                 16            101        ~22471        12.448          37.0817          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 3600          1             NA            NA            NA            NA           374400        226800           NA               25203          3600        4.5019               4.59                 17            102        ~25279        13.824          41.5169          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 4000          1             NA            NA            NA            NA           416000        252000           NA               28003          4000        5.2809               5.37                 18            104        ~28087        15.36           45.9521          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.18          18                 4400          1             NA            NA            NA            NA           457600        277200           NA               30803          4400        7.66305              7.76                 18            77         ~30895        16.896          50.3873          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 4800          1             NA            NA            NA            NA           499200        302400           NA               33603          4800        5.96245              6.04                 16            110        ~33703        18.272          54.8225          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 5200          1             NA            NA            NA            NA           540800        327600           NA               36403          5200        10.5282              10.62                16            69         ~36513        20.128          60.0577          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 5600          1             NA            NA            NA            NA           582400        352800           NA               39203          5600        7.57445              7.66                 16            99         ~39321        21.504          64.4929          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
