program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest     replicated-field    3          0.34          28                 10          0.0229703            0.11                 17            55         ~75           0.330416        0.830944
31       FIELD     semihonest     replicated-field    3          0.16          18                 400         0.517247             0.60                 15            97         ~2813         1.69602         5.23526
31       FIELD     semihonest     replicated-field    3          0.17          18                 800         1.12412              1.21                 16            98         ~5621         3.23202         9.67046
31       FIELD     semihonest     replicated-field    3          0.17          18                 1200        1.50598              1.60                 15            103        ~8429         4.76802         14.1057
31       FIELD     semihonest     replicated-field    3          0.17          18                 1600        2.11863              2.20                 18            104        ~11237        6.14402         18.5409
31       FIELD     semihonest     replicated-field    3          0.16          18                 2000        2.80424              2.89                 15            100        ~14045        7.68002         22.9761
31       FIELD     semihonest     replicated-field    3          0.17          18                 2400        3.18564              3.28                 15            95         ~16853        9.21602         27.4113
31       FIELD     semihonest     replicated-field    3          0.17          18                 2800        3.73421              3.83                 16            104        ~19663        10.912          32.6465
31       FIELD     semihonest     replicated-field    3          0.17          18                 3200        4.02183              4.10                 16            101        ~22471        12.448          37.0817
31       FIELD     semihonest     replicated-field    3          0.16          18                 3600        4.5019               4.59                 17            102        ~25279        13.824          41.5169
31       FIELD     semihonest     replicated-field    3          0.17          18                 4000        5.2809               5.37                 18            104        ~28087        15.36           45.9521
31       FIELD     semihonest     replicated-field    3          0.18          18                 4400        7.66305              7.76                 18            77         ~30895        16.896          50.3873
31       FIELD     semihonest     replicated-field    3          0.17          18                 4800        5.96245              6.04                 16            110        ~33703        18.272          54.8225
31       FIELD     semihonest     replicated-field    3          0.16          18                 5200        10.5282              10.62                16            69         ~36513        20.128          60.0577
31       FIELD     semihonest     replicated-field    3          0.17          18                 5600        7.57445              7.66                 16            99         ~39321        21.504          64.4929
31       FIELD     semihonest     replicated-field    3          0.17          18                 6000        7.66486              7.75                 16            105        ~42129        23.04           68.9281
31       FIELD     semihonest     replicated-field    3          0.17          18                 6400        8.23881              8.32                 18            106        ~44937        24.576          73.3633
31       FIELD     semihonest     replicated-field    3          0.17          18                 6800        8.7094               8.81                 16            103        ~47745        25.952          77.7985
31       FIELD     semihonest     replicated-field    3          0.17          18                 7200        9.27847              9.37                 16            106        ~50553        27.488          82.2337
31       FIELD     semihonest     replicated-field    3          0.16          18                 7600        9.4342               9.52                 14            102        ~53363        29.184          87.4689
31       FIELD     semihonest     replicated-field    3          0.16          18                 8000        12.0647              12.15                18            88         ~56171        30.72           91.9041
31       FIELD     semihonest     replicated-field    3          0.16          18                 8400        10.9394              11.03                16            105        ~58979        32.256          96.3393
31       FIELD     semihonest     replicated-field    3          0.17          18                 8800        10.8996              10.99                16            108        ~61787        33.632          100.774
31       FIELD     semihonest     replicated-field    3          0.18          18                 9200        12.0509              12.13                16            105        ~64595        35.168          105.21
31       FIELD     semihonest     replicated-field    3          0.17          18                 9600        13.4917              13.58                16            100        ~67403        36.704          109.645
31       FIELD     semihonest     replicated-field    3          0.17          18                 10000       17.0436              17.12                16            77         ~70211        38.08           114.08
31       FIELD     semihonest     replicated-field    3          0.17          18                 10400       13.4051              13.50                18            101        ~73021        39.936          119.315
