program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
43;BINARY;maldishonest;tinier;3;0.72;31;3;0.791719;0.86;81;104;NA;26.282;NA
43;BINARY;maldishonest;tinier;3;1.88;61;6;0.773141;0.85;81;105;NA;26.2892;NA
43;BINARY;maldishonest;tinier;3;4.24;117;9;0.77261;0.88;83;104;NA;26.3009;NA
43;BINARY;maldishonest;tinier;3;7.43;186;12;0.806991;0.94;89;101;NA;26.3172;NA
43;BINARY;maldishonest;tinier;3;11.73;286;15;1.54356;1.69;98;104;NA;52.2596;NA
43;BINARY;maldishonest;tinier;3;16.76;417;18;1.55794;1.75;103;105;NA;52.2849;NA
43;BINARY;maldishonest;tinier;3;22.79;543;21;2.36373;2.59;110;101;NA;78.2363;NA
43;BINARY;maldishonest;tinier;3;29.52;679;24;2.9558;3.23;114;108;NA;104.192;NA
43;BINARY;maldishonest;tinier;3;37.28;906;27;2.99029;3.31;128;108;NA;104.231;NA
43;BINARY;maldishonest;tinier;3;46.05;1064;30;3.9138;4.29;133;103;NA;130.196;NA
43;BINARY;maldishonest;tinier;3;56.49;1268;33;4.63508;5.05;140;104;NA;156.166;NA
43;BINARY;maldishonest;tinier;3;66.25;1602;36;5.37634;5.89;147;105;NA;182.14;NA
43;BINARY;maldishonest;tinier;3;78.67;1850;39;5.82774;6.41;159;108;NA;208.119;NA
43;BINARY;maldishonest;tinier;3;90.25;2098;42;7.5795;8.23;178;104;NA;260.023;NA
43;BINARY;maldishonest;tinier;3;103.26;2372;45;8.00707;8.74;193;108;NA;286.011;NA
43;BINARY;maldishonest;tinier;3;117.80;2626;48;9.7895;10.61;216;102;NA;337.925;NA
43;BINARY;maldishonest;tinier;3;131.88;3176;51;10.2103;11.16;212;108;NA;363.922;NA
43;BINARY;maldishonest;tinier;3;150.14;3511;54;11.7053;12.73;243;107;NA;415.845;NA
43;BINARY;maldishonest;tinier;3;164.38;3847;57;12.9784;14.12;259;108;NA;467.772;NA
43;BINARY;maldishonest;tinier;3;186.20;4205;60;13.716;14.95;259;108;NA;493.783;NA
43;BINARY;maldishonest;tinier;3;203.59;4583;63;15.1397;16.51;273;107;NA;545.719;NA
43;BINARY;maldishonest;tinier;3;220.37;4954;66;16.666;18.14;304;108;NA;597.66;NA
43;BINARY;maldishonest;tinier;3;242.38;5368;69;18.0624;19.74;324;108;NA;649.606;NA
43;BINARY;maldishonest;tinier;3;266.77;6196;72;20.1663;21.96;342;109;NA;727.477;NA
43;BINARY;maldishonest;tinier;3;285.80;6700;75;22.6648;24.61;374;104;NA;779.432;NA
43;BINARY;maldishonest;tinier;3;309.66;7144;78;23.0654;25.19;398;108;NA;831.391;NA
43;BINARY;maldishonest;tinier;3;333.41;7651;81;25.3808;27.58;404;110;NA;909.277;NA
43;BINARY;maldishonest;tinier;3;352.56;8131;84;27.2724;29.71;432;106;NA;987.166;NA
43;BINARY;maldishonest;tinier;3;385.73;8713;87;30.1171;32.62;454;104;NA;1039.14;NA
43;BINARY;maldishonest;tinier;3;413.21;9230;90;31.0091;33.67;480;108;NA;1117.04;NA
43;BINARY;maldishonest;tinier;3;432.99;9816;93;33.1133;36.02;523;108;NA;1194.94;NA
43;BINARY;maldishonest;tinier;3;474.59;10391;96;37.6511;40.68;543;102;NA;1272.85;NA
43;BINARY;maldishonest;tinier;3;497.70;11758;99;37.3335;40.69;575;106;NA;1350.76;NA
43;BINARY;maldishonest;tinier;3;530.14;12433;102;41.2768;44.78;589;104;NA;1428.68;NA
43;BINARY;maldishonest;tinier;3;551.14;13133;105;41.705;45.39;626;108;NA;1506.6;NA
43;BINARY;maldishonest;tinier;3;594.77;13772;108;46.5733;50.46;657;104;NA;1610.45;NA
43;BINARY;maldishonest;tinier;3;622.33;14441;111;48.6266;53.01;693;103;NA;1688.38;NA
43;BINARY;maldishonest;tinier;3;662.70;15129;114;49.7128;54.01;710;109;NA;1792.24;NA
43;BINARY;maldishonest;tinier;3;690.55;15828;117;51.7318;56.22;750;108;NA;1870.18;NA
43;BINARY;maldishonest;tinier;3;733.16;16557;120;56.997;61.71;783;105;NA;1974.04;NA
43;BINARY;maldishonest;tinier;3;765.42;17297;123;57.2986;62.24;800;108;NA;2077.91;NA
43;BINARY;maldishonest;tinier;3;806.79;18057;126;63.2888;68.44;831;105;NA;2181.79;NA
43;BINARY;maldishonest;tinier;3;838.56;18836;129;67.6315;73.06;881;103;NA;2285.67;NA
43;BINARY;maldishonest;tinier;3;901.10;19638;132;65.7956;71.44;917;108;NA;2389.55;NA
43;BINARY;maldishonest;tinier;3;926.50;20457;135;68.8583;74.72;953;108;NA;2493.44;NA
43;BINARY;maldishonest;tinier;3;960.87;21276;138;72.0617;78.53;1124;108;NA;2597.33;NA
43;BINARY;maldishonest;tinier;3;1014.58;23777;141;80.3749;87.21;1124;103;NA;2727.15;NA
43;BINARY;maldishonest;tinier;3;1049.64;24688;144;78.2581;85.56;1123;108;NA;2831.05;NA
43;BINARY;maldishonest;tinier;3;1086.65;25564;147;81.8913;89.08;1127;108;NA;2960.88;NA
43;BINARY;semidishonest;semi-bin;3;0.72;31;3;0.442742;0.51;197;146;NA;21.795;NA
43;BINARY;semidishonest;semi-bin;3;1.88;61;6;0.519548;0.59;199;152;NA;21.8494;NA
43;BINARY;semidishonest;semi-bin;3;4.24;117;9;0.461262;0.55;199;143;NA;21.9402;NA
43;BINARY;semidishonest;semi-bin;3;7.43;186;12;0.44781;0.55;206;146;NA;22.0673;NA
43;BINARY;semidishonest;semi-bin;3;11.73;286;15;0.48351;0.63;206;140;NA;22.2306;NA
43;BINARY;semidishonest;semi-bin;3;16.76;417;18;0.481408;0.65;208;137;NA;22.4302;NA
