program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       FIELD     semihonest  replicated-field  3          0.78          32                 10          0.00257602           0.08                 14            46         ~10           0.001294        0.002666
42       FIELD     semihonest  replicated-field  3          23.18         559                400         0.0247978            0.27                 31            82         ~10           0.050824        0.101336
42       FIELD     semihonest  replicated-field  3          46.67         1117               800         0.045517             0.44                 48            87         ~10           0.101624        0.202536
42       FIELD     semihonest  replicated-field  3          70.02         1682               1200        0.0703738            0.62                 80            90         ~10           0.152424        0.303736
42       FIELD     semihonest  replicated-field  3          93.45         2205               1600        0.0888395            0.77                 84            91         ~10           0.203224        0.404936
42       FIELD     semihonest  replicated-field  3          117.22        2793               2000        0.110278             0.90                 95            92         ~10           0.254024        0.506136
42       FIELD     semihonest  replicated-field  3          138.90        3332               2400        0.124705             1.10                 152           92         ~10           0.304824        0.607336
42       FIELD     semihonest  replicated-field  3          163.84        3897               2800        0.136978             1.24                 153           93         ~10           0.355624        0.708536
42       FIELD     semihonest  replicated-field  3          187.35        4377               3200        0.17192              1.43                 153           93         ~10           0.406424        0.809736
42       FIELD     semihonest  replicated-field  3          205.16        4840               3600        0.189149             1.60                 163           91         ~10           0.457224        0.910936
42       FIELD     semihonest  replicated-field  3          233.30        5557               4000        0.196753             1.73                 178           94         ~10           0.508024        1.01214
42       FIELD     semihonest  replicated-field  3          257.37        6181               4400        0.213208             1.93                 294           95         ~10           0.558824        1.11334
42       FIELD     semihonest  replicated-field  3          275.71        6669               4800        0.232609             2.09                 296           95         ~10           0.609624        1.21454
42       FIELD     semihonest  replicated-field  3          302.99        7154               5200        0.258141             2.30                 296           93         ~10           0.660424        1.31574
42       FIELD     semihonest  replicated-field  3          329.67        7714               5600        0.249687             2.36                 296           95         ~10           0.711224        1.41694
42       FIELD     semihonest  replicated-field  3          352.60        8166               6000        0.264313             2.49                 297           95         ~10           0.762024        1.51814
42       FIELD     semihonest  replicated-field  3          371.66        8674               6400        0.273283             2.64                 297           96         ~10           0.812824        1.61934
42       FIELD     semihonest  replicated-field  3          399.71        9184               6800        0.315107             2.85                 301           95         ~10           0.863624        1.72054
42       FIELD     semihonest  replicated-field  3          415.52        9665               7200        0.318408             2.95                 312           95         ~10           0.914424        1.82174
42       FIELD     semihonest  replicated-field  3          449.44        10120              7600        0.315153             3.11                 326           95         ~10           0.965224        1.92294
42       FIELD     semihonest  replicated-field  3          467.04        11019              8000        0.32266              3.22                 343           97         ~10           1.01602         2.02414
42       FIELD     semihonest  replicated-field  3          486.23        11827              8400        0.356877             3.55                 578           96         ~10           1.06682         2.12534
42       FIELD     semihonest  replicated-field  3          513.42        12321              8800        0.386564             3.72                 580           95         ~10           1.11762         2.22654
42       FIELD     semihonest  replicated-field  3          528.66        12803              9200        0.376103             3.86                 581           97         ~10           1.16842         2.32774
42       FIELD     semihonest  replicated-field  3          563.43        13258              9600        0.38326              4.07                 578           96         ~10           1.21922         2.42894
42       FIELD     semihonest  replicated-field  3          585.43        13837              10000       0.41456              4.14                 582           96         ~10           1.27002         2.53014
42       FIELD     semihonest  replicated-field  3          599.89        14302              10400       0.430203             4.29                 582           97         ~10           1.32082         2.63134
42       FIELD     semihonest  replicated-field  3          635.55        14793              10800       0.448249             4.58                 585           94         ~10           1.37162         2.73254
42       FIELD     semihonest  replicated-field  3          648.91        15381              11200       0.422753             4.56                 579           97         ~10           1.42242         2.83374
42       FIELD     semihonest  replicated-field  3          680.52        15866              11600       0.437426             4.65                 578           97         ~10           1.47322         2.93494
42       FIELD     semihonest  replicated-field  3          694.59        16342              12000       0.449916             4.80                 582           97         ~10           1.52402         3.03614
42       FIELD     semihonest  replicated-field  3          717.65        16806              12400       0.463613             4.94                 582           97         ~10           1.57482         3.13734
42       FIELD     semihonest  replicated-field  3          742.84        17286              12800       0.507515             5.16                 584           96         ~10           1.62562         3.23854
42       FIELD     semihonest  replicated-field  3          761.79        17831              13200       0.515144             5.29                 587           97         ~10           1.67642         3.33974
42       FIELD     semihonest  replicated-field  3          790.81        18316              13600       0.536177             5.44                 588           97         ~10           1.72722         3.44094
42       FIELD     semihonest  replicated-field  3          800.45        18785              14000       0.528834             5.58                 592           97         ~10           1.77802         3.54214
42       FIELD     semihonest  replicated-field  3          832.73        19270              14400       0.565298             5.92                 607           97         ~10           1.82882         3.64334
42       FIELD     semihonest  replicated-field  3          862.00        19754              14800       0.540776             5.81                 623           98         ~10           1.87962         3.74454
42       FIELD     semihonest  replicated-field  3          862.67        20233              15200       0.565174             5.95                 638           97         ~10           1.93042         3.84574
42       FIELD     semihonest  replicated-field  3          898.68        20707              15600       0.615781             6.38                 655           97         ~10           1.98122         3.94694
42       FIELD     semihonest  replicated-field  3          930.65        22016              16000       0.614841             6.37                 671           96         ~10           2.03202         4.04814
42       FIELD     semihonest  replicated-field  3          934.19        22513              16400       0.631264             6.79                 1145          97         ~10           2.08282         4.14934
42       FIELD     semihonest  replicated-field  3          986.14        23631              16800       0.658394             7.11                 1146          97         ~10           2.13362         4.25054
42       FIELD     semihonest  replicated-field  3          1000.94       24116              17200       0.658493             7.06                 1148          98         ~10           2.18442         4.35174
