program  c.domain  adv.model      protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       FIELD     semihonest     atlas     3          1.36          45                 1                  NA            NA            NA            1280          64            NA           NA            NA               1260             29             20          0.00635234           0.09                 15            53         ~16           0.017577        0.047739         NA        NA          NA           NA        NA          NA          NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     atlas     3          2.28          73                 1                  NA            NA            NA            2560          64            NA           NA            NA               2520             49             40          0.00860008           0.12                 16            57         ~16           0.021817        0.055339         NA        NA          NA           NA        NA          NA          NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     atlas     3          3.43          97                 1                  NA            NA            NA            3840          64            NA           NA            NA               3780             69             60          0.0101975            0.13                 17            69         ~16           0.026057        0.062939         NA        NA          NA           NA        NA          NA          NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     atlas     3          4.67          127                1                  NA            NA            NA            5120          64            NA           NA            NA               5040             89             80          0.0153905            0.16                 18            69         ~16           0.030297        0.070539         NA        NA          NA           NA        NA          NA          NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     atlas     3          5.78          154                2                  NA            NA            NA            6400          64            NA           NA            NA               6300             109            100         0.0152134            0.16                 19            70         ~16           0.034537        0.078139         NA        NA          NA           NA        NA          NA          NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     atlas     3          58.59         1425               11                 NA            NA            NA            64000         64            NA           NA            NA               63000            1009           1000        0.157801             0.76                 63            74         ~28           0.305353        0.660187         NA        NA          NA           NA        NA          NA          NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao       2          1.16          44                 1                  NA            NA            NA            1280          64            NA           NA            NA               1260             29             20          0.0167546            0.05                 13            64         NA            0.040321        NA               0.040321  4           0.000271432  8e-06     1           0.00166769  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao       2          2.30          73                 1                  NA            NA            NA            2560          64            NA           NA            NA               2520             49             40          0.0177821            0.06                 13            75         NA            0.080641        NA               0.080641  4           0.000297652  8e-06     1           0.00191511  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao       2          3.46          97                 1                  NA            NA            NA            3840          64            NA           NA            NA               3780             69             60          0.0193748            0.07                 13            65         NA            0.120961        NA               0.120961  4           0.000759571  8e-06     1           0.00241686  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao       2          4.65          127                1                  NA            NA            NA            5120          64            NA           NA            NA               5040             89             80          0.0205466            0.08                 17            85         NA            0.161281        NA               0.161281  4           0.000543329  8e-06     1           0.00291921  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao       2          5.77          154                2                  NA            NA            NA            6400          64            NA           NA            NA               6300             109            100         0.0225778            0.09                 17            85         NA            0.201601        NA               0.201601  4           0.000547094  8e-06     1           0.00361299  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao       2          58.25         1425               11                 NA            NA            NA            64000         64            NA           NA            NA               63000            1009           1000        0.136661             0.67                 61            75         NA            2.016           NA               2.016     4           0.0116898    8e-06     1           0.0302023   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO      2          1.16          44                 1                  NA            NA            NA            1280          64            NA           NA            NA               1260             29             20          0.00256517           0.04                 11            78         NA            0               NA               NA        NA          NA           0.040321  2           0.0134088   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO      2          2.30          73                 1                  NA            NA            NA            2560          64            NA           NA            NA               2520             49             40          0.00320099           0.05                 10            82         NA            0               NA               NA        NA          NA           0.080641  2           0.0119355   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
