program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)        Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
43       BINARY    maldishonest   tinier             3          0.43          28                 1                  NA            NA            NA            192           64            NA           NA            NA               189              12             3           0.771619             0.84                 82            103        NA            26.2805         NA               0.936784  26          0.00507964   0.936848  28          0.758442     0.000488       21                 0.0175883     6.4e-05   2             0.720473  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0026825    25.0102     64              0.908662   0.161792    1               0.732885   0.323584    2               1.44674    0.000192     1                0.716109
43       BINARY    maldishonest   tinier             3          0.40          24                 1                  NA            NA            NA            384           64            NA           NA            NA               378              15             6           0.80089              0.88                 81            105        NA            26.2816         NA               0.93754   26          0.00498979   0.937604  28          0.788472     0.000488       21                 0.0216266     6.4e-05   2             0.751051  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00277977   25.0102     64              0.922979   0.161792    1               0.763203   0.323584    2               1.50818    0.000384     1                0.747215
43       BINARY    maldishonest   tinier             3          0.57          29                 1                  NA            NA            NA            576           64            NA           NA            NA               567              18             9           0.767353             0.84                 81            103        NA            26.2828         NA               0.938296  26          0.00417572   0.93836   28          0.756141     0.000488       21                 0.0202511     6.4e-05   2             0.719171  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00605307   25.0102     64              0.90952    0.161792    1               0.730586   0.323584    2               1.4447     0.000576     1                0.715377
43       BINARY    maldishonest   tinier             3          0.71          33                 1                  NA            NA            NA            768           64            NA           NA            NA               756              21             12          0.822                0.90                 81            102        NA            26.2839         NA               0.939052  26          0.00420751   0.939116  28          0.810276     0.000488       21                 0.0176677     6.4e-05   2             0.772304  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00297332   25.0102     64              0.9697     0.161792    1               0.785324   0.323584    2               1.55023    0.000768     1                0.767991
43       BINARY    maldishonest   tinier             3          0.87          36                 1                  NA            NA            NA            960           64            NA           NA            NA               945              24             15          0.804407             0.89                 81            99         NA            26.285          NA               0.939808  26          0.00424211   0.939872  28          0.791609     0.000488       21                 0.0169941     6.4e-05   2             0.756716  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00188656   25.0102     64              0.994868   0.161792    1               0.769097   0.323584    2               1.51928    0.00096      1                0.752311
43       BINARY    maldishonest   tinier             3          1.06          42                 1                  NA            NA            NA            1152          64            NA           NA            NA               1134             27             18          0.764852             0.84                 80            105        NA            26.2862         NA               0.940564  26          0.00422379   0.940628  28          0.754488     0.000488       21                 0.0218661     6.4e-05   2             0.718289  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00206439   25.0102     64              0.884749   0.161792    1               0.729478   0.323584    2               1.44238    0.001152     1                0.714266
43       BINARY    maldishonest   tinier             3          1.20          45                 1                  NA            NA            NA            1344          64            NA           NA            NA               1323             30             21          0.765568             0.85                 80            107        NA            26.2873         NA               0.94132   26          0.00444077   0.941384  28          0.756286     0.000488       21                 0.017802      6.4e-05   2             0.719738  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00181571   25.0102     64              0.901542   0.161792    1               0.732587   0.323584    2               1.44536    0.001344     1                0.715671
43       BINARY    maldishonest   tinier             3          1.37          49                 1                  NA            NA            NA            1536          64            NA           NA            NA               1512             33             24          0.798101             0.88                 82            103        NA            26.2885         NA               0.942076  26          0.005081     0.94214   28          0.791131     0.000488       21                 0.0163757     6.4e-05   2             0.748995  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00264012   25.0102     64              0.943372   0.161792    1               0.761188   0.323584    2               1.50328    0.001536     1                0.744322
43       BINARY    maldishonest   tinier             3          1.56          53                 1                  NA            NA            NA            1728          64            NA           NA            NA               1701             36             27          0.813788             0.89                 80            106        NA            26.2896         NA               0.942832  26          0.00433403   0.942896  28          0.802595     0.000488       21                 0.0204546     6.4e-05   2             0.767607  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0013242    25.0102     64              0.957821   0.161792    1               0.778905   0.323584    2               1.5412     0.001728     1                0.762817
43       BINARY    maldishonest   tinier             3          1.73          57                 1                  NA            NA            NA            1920          64            NA           NA            NA               1890             39             30          0.791266             0.87                 81            104        NA            26.2907         NA               0.943588  26          0.00433515   0.943652  28          0.782704     0.000488       21                 0.0192284     6.4e-05   2             0.744923  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00655272   25.0102     64              0.927096   0.161792    1               0.75651    0.323584    2               1.49565    0.00192      1                0.740117
43       BINARY    maldishonest   tinier             3          1.87          64                 1                  NA            NA            NA            2112          64            NA           NA            NA               2079             42             33          0.773516             0.86                 83            106        NA            26.2919         NA               0.944344  26          0.00573639   0.944408  28          0.764118     0.000488       21                 0.0205985     6.4e-05   2             0.72415   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00971285   25.0102     64              0.879666   0.161792    1               0.735385   0.323584    2               1.45372    0.002112     1                0.718576
43       BINARY    maldishonest   tinier             3          2.06          68                 1                  NA            NA            NA            2304          64            NA           NA            NA               2268             45             36          0.795594             0.88                 83            105        NA            26.293          NA               0.9451    26          0.00456088   0.945164  28          0.78516      0.000488       21                 0.0182192     6.4e-05   2             0.74851   NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00764909   25.0102     64              0.905521   0.161792    1               0.760815   0.323584    2               1.5022     0.002304     1                0.744234
43       BINARY    maldishonest   tinier             3          2.22          72                 1                  NA            NA            NA            2496          64            NA           NA            NA               2457             48             39          0.776759             0.87                 82            105        NA            26.2942         NA               0.945856  26          0.00448235   0.94592   28          0.766101     0.000488       21                 0.0199381     6.4e-05   2             0.729158  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.0021651    25.0102     64              0.881502   0.161792    1               0.739841   0.323584    2               1.46427    0.002496     1                0.724285
43       BINARY    maldishonest   tinier             3          2.38          75                 1                  NA            NA            NA            2688          64            NA           NA            NA               2646             51             42          0.777012             0.87                 82            105        NA            26.2953         NA               0.946612  26          0.00457673   0.946676  28          0.76664      0.000488       21                 0.016343      6.4e-05   2             0.730921  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00157428   25.0102     64              0.904392   0.161792    1               0.742478   0.323584    2               1.46772    0.002688     1                0.725088
43       BINARY    maldishonest   tinier             3          2.54          79                 1                  NA            NA            NA            2880          64            NA           NA            NA               2835             54             45          0.792681             0.88                 83            103        NA            26.2964         NA               0.947368  26          0.00464567   0.947432  28          0.785746     0.000488       21                 0.0184509     6.4e-05   2             0.748087  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00105616   25.0102     64              0.98205    0.161792    1               0.758971   0.323584    2               1.50273    0.00288      1                0.742423
43       BINARY    maldishonest   tinier             3          2.73          83                 1                  NA            NA            NA            3072          64            NA           NA            NA               3024             57             48          0.784543             0.88                 83            107        NA            26.2976         NA               0.948124  26          0.00544171   0.948188  28          0.778839     0.000488       21                 0.0201265     6.4e-05   2             0.737876  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00131624   25.0102     64              0.919952   0.161792    1               0.749709   0.323584    2               1.48187    0.003072     1                0.732134
43       BINARY    maldishonest   tinier             3          2.90          86                 1                  NA            NA            NA            3264          64            NA           NA            NA               3213             60             51          0.775927             0.87                 82            106        NA            26.2987         NA               0.94888   26          0.00510383   0.948944  28          0.767649     0.000488       21                 0.0166453     6.4e-05   2             0.730447  NA           NA               NA          NA                  NA                      NA                 0.008542  6           0.00147199   25.0102     64              0.923548   0.161792    1               0.742537   0.323584    2               1.46687    0.003264     1                0.724922
