program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)       Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       FIELD     semihonest     replicated-field    3          1071.14       25076              194                NA            NA            NA            1152000       64            NA           NA            NA               1134000          18009          18000       0.683279             9.91                 1149          98         ~10           2.28602         4.55414          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       FIELD     semihonest     replicated-field    3          1171.16       27632              215                NA            NA            NA            1280000       64            NA           NA            NA               1260000          20009          20000       0.729728             10.87                1151          98         ~10           2.54002         5.06014          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      semidishonest  semi2k              3          1059.72       25071              194                NA            NA            NA            1152000       64            NA           NA            NA               1134000          18009          18000       1.51735              10.74                1147          102        ~101          75.6035         190.522          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      semidishonest  semi2k              3          1175.51       27632              215                NA            NA            NA            1280000       64            NA           NA            NA               1260000          20009          20000       1.70691              11.91                1148          102        ~109          84.0039         211.692          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      malhonest      sy-rep-ring         3          1059.72       25071              194                NA            NA            NA            1152000       64            NA           NA            NA               1134000          18009          18000       1.00514              10.22                1151          99         ~28           20.9556         60.5628          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      malhonest      sy-rep-ring         3          1175.51       27632              215                NA            NA            NA            1280000       64            NA           NA            NA               1260000          20009          20000       1.06666              11.24                1153          98         ~28           23.0996         66.7388          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      malhonest      malicious-rep-ring  3          1059.72       25071              194                NA            NA            NA            1152000       64            NA           NA            NA               1134000          18009          18000       0.994989             10.21                1150          98         ~28           20.9556         60.5628          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      malhonest      malicious-rep-ring  3          1175.51       27632              215                NA            NA            NA            1280000       64            NA           NA            NA               1260000          20009          20000       1.0576               11.22                1153          99         ~28           23.0996         66.7388          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      malhonest      ps-rep-ring         3          1059.72       25071              194                NA            NA            NA            1152000       64            NA           NA            NA               1134000          18009          18000       0.976752             10.71                1148          95         ~28           20.9556         60.5628          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       RING      malhonest      ps-rep-ring         3          1175.51       27632              215                NA            NA            NA            1280000       64            NA           NA            NA               1260000          20009          20000       1.08233              11.32                1153          98         ~28           23.0996         66.7388          NA       NA          NA         NA       NA          NA        NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
