program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       FIELD     semihonest     replicated-field    3          1071.14       25076              194                18000       0.683279             9.91                 1149          98         ~10           2.28602         4.55414
42       FIELD     semihonest     replicated-field    3          1171.16       27632              215                20000       0.729728             10.87                1151          98         ~10           2.54002         5.06014
42       RING      semidishonest  semi2k              3          1059.72       25071              194                18000       1.51735              10.74                1147          102        ~101          75.6035         190.522
42       RING      semidishonest  semi2k              3          1175.51       27632              215                20000       1.70691              11.91                1148          102        ~109          84.0039         211.692
42       RING      malhonest      sy-rep-ring         3          1059.72       25071              194                18000       1.00514              10.22                1151          99         ~28           20.9556         60.5628
42       RING      malhonest      sy-rep-ring         3          1175.51       27632              215                20000       1.06666              11.24                1153          98         ~28           23.0996         66.7388
42       RING      malhonest      malicious-rep-ring  3          1059.72       25071              194                18000       0.994989             10.21                1150          98         ~28           20.9556         60.5628
42       RING      malhonest      malicious-rep-ring  3          1175.51       27632              215                20000       1.0576               11.22                1153          99         ~28           23.0996         66.7388
42       RING      malhonest      ps-rep-ring         3          1059.72       25071              194                18000       0.976752             10.71                1148          95         ~28           20.9556         60.5628
42       RING      malhonest      ps-rep-ring         3          1175.51       27632              215                20000       1.08233              11.32                1153          98         ~28           23.0996         66.7388
42       RING      semihonest     replicated-ring     3          1059.72       25071              194                18000       0.684833             9.90                 1148          98         ~10           2.28602         4.55414
42       RING      semihonest     replicated-ring     3          1175.51       27632              215                20000       0.764824             10.92                1152          98         ~10           2.54002         5.06014
42       BINARY    maldishonest   tinier              3          1055.16       25070              194                18000       40.7752              50.26                1152          128        NA            2506.99         NA
42       BINARY    maldishonest   tinier              3          1178.74       27595              215                20000       45.4262              55.87                1158          127        NA            2796.77         NA
42       BINARY    semidishonest  semi-bin            3          1055.16       25070              194                18000       1.15942              10.60                1149          102        NA            79.833          NA
42       BINARY    semidishonest  semi-bin            3          1178.74       27595              215                20000       1.25039              11.75                1159          101        NA            83.865          NA
42       BINARY    semidishonest  yao                 2          1055.16       25070              194                18000       1.86235              11.19                1149          100        NA            36.288          NA
42       BINARY    semidishonest  yao                 2          1178.74       27595              215                20000       2.04329              12.32                1159          101        NA            40.32           NA
42       BINARY    semidishonest  yaoO                2          1055.16       25070              194                18000       2.0582               11.41                1149          93         NA            0               NA
42       BINARY    semidishonest  yaoO                2          1178.74       27595              215                20000       2.25666              12.61                1157          93         NA            0               NA
42       BINARY    semihonest     replicated-bin      3          1055.16       25070              194                18000       0.67917              10.18                1151          98         NA            2.28606         NA
42       BINARY    semihonest     replicated-bin      3          1178.74       27595              215                20000       0.745382             11.21                1159          98         NA            2.54006         NA
