program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
43;RING;malhonest;malicious-rep-ring;3;5.41;139;1;10;5;0.380487;3.24;25;5;~20;0.931384;2.79351
43;RING;malhonest;malicious-rep-ring;3;NA;NA;NA;10;10;2.2139;5.49;25;3;~20;0.931384;2.79351
43;RING;malhonest;malicious-rep-ring;3;NA;NA;NA;10;15;100.469;110.56;24;0;~20;0.931384;2.79351
43;RING;malhonest;malicious-rep-ring;3;20.76;501;4;20;5;0.925189;2.40;35;11;~20;1.2345;3.70223
43;RING;malhonest;malicious-rep-ring;3;NA;NA;NA;20;10;6.13434;10.31;37;3;~20;1.2345;3.70223
43;RING;malhonest;malicious-rep-ring;3;NA;NA;NA;20;15;45.0309;51.83;35;0;~20;1.2345;3.70223
43;RING;malhonest;malicious-rep-ring;3;46.16;1064;9;30;5;0.307531;2.19;55;22;~20;1.73922;5.21575
43;RING;malhonest;malicious-rep-ring;3;NA;NA;NA;30;10;9.01171;15.88;52;3;~20;1.73922;5.21575
43;RING;malhonest;malicious-rep-ring;3;NA;NA;NA;30;15;78.0769;87.25;55;0;~20;1.73922;5.21575
43;RING;malhonest;malicious-rep-ring;3;81.83;1930;15;40;5;0.82945;4.34;84;17;~20;2.44554;7.33407
43;RING;semihonest;replicated-ring;3;5.41;139;1;10;5;0.212161;0.78;19;14;~10;0.007036;0.020468
43;RING;semihonest;replicated-ring;3;NA;NA;NA;10;10;0.233817;7.98;19;1;~10;0.007036;0.020468
43;RING;semihonest;replicated-ring;3;NA;NA;NA;10;15;0.464068;9.40;16;1;~10;0.007036;0.020468
43;RING;semihonest;replicated-ring;3;20.76;501;4;20;5;0.0182243;2.36;26;10;~10;0.026656;0.078688
43;RING;semihonest;replicated-ring;3;NA;NA;NA;20;10;1.07673;12.75;28;2;~10;0.026656;0.078688
43;RING;semihonest;replicated-ring;3;NA;NA;NA;20;15;2.79803;11.82;28;2;~10;0.026656;0.078688
43;RING;semihonest;replicated-ring;3;46.16;1064;9;30;5;0.0289335;2.32;46;18;~10;0.058876;0.174708
43;RING;semihonest;replicated-ring;3;NA;NA;NA;30;10;0.674027;4.43;46;9;~10;0.058876;0.174708
43;RING;semihonest;replicated-ring;3;NA;NA;NA;30;15;0.716916;16.25;46;2;~10;0.058876;0.174708
43;RING;semihonest;replicated-ring;3;81.83;1930;15;40;5;0.269289;3.39;82;19;~10;0.103696;0.308528
