program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)          bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          119.49        2838               22                 1.3                 50               2048        0.997559             2.33                 148           94         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          237.32        5667               44                 1.3                 50               4096        1.99092              4.68                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 200              2048        0.491956             1.83                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 200              4096        0.979826             3.62                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 400              2048        0.396609             1.74                 148           96         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 400              4096        0.792722             3.42                 290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 600              2048        0.369199             1.70                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 600              4096        0.731297             3.38                 292           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 800              2048        0.353706             1.70                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 800              4096        0.728559             3.36                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 1000             2048        0.348764             1.71                 148           93         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 1000             4096        0.688955             3.33                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 3000             2048        0.354741             1.69                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3                 3000             4096        0.698612             3.32                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 50               2048        0.927654             1.98                 148           93         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 50               4096        1.85956              3.88                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 200              2048        0.42579              1.46                 148           94         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 200              4096        0.835                2.87                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 400              2048        0.33808              1.36                 150           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 400              4096        0.68158              2.71                 290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 600              2048        0.307134             1.33                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 600              4096        0.604603             2.64                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 800              2048        0.290919             1.33                 148           94         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 800              4096        0.586417             2.61                 292           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 1000             2048        0.2855               1.32                 148           94         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 1000             4096        0.589749             2.63                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 3000             2048        0.287956             1.31                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7                 3000             4096        0.576208             2.60                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  50               2048        0.894675             1.74                 148           93         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  50               4096        1.80212              3.46                 292           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  200              2048        0.377299             1.21                 150           94         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  200              4096        0.756251             2.42                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  400              2048        0.291422             1.14                 150           93         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  400              4096        0.585646             2.24                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  600              2048        0.267185             1.10                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  600              4096        0.535556             2.19                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  800              2048        0.247183             1.09                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  800              4096        0.516195             2.17                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  1000             2048        0.237521             1.08                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  1000             4096        0.489571             2.15                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  3000             2048        0.241401             1.09                 148           95         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.0999999999999996  3000             4096        0.490351             2.15                 290           95         NA            8.25754         NA
