program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          0.78          32                 1                  NA            NA            NA            640           64            NA           NA            NA               630              19             10          0.0164125            0.03                 11            66         NA            0.020161        NA               0.020161  4           0.000440949  8e-06    1           0.00129646  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          7.35          199                2                  NA            NA            NA            8192          64            NA           NA            NA               8064             137            128         0.0275251            0.11                 17            83         NA            0.258049        NA               0.258049  4           0.000725929  8e-06    1           0.00675506  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          14.83         376                3                  NA            NA            NA            16384         64            NA           NA            NA               16128            265            256         0.033411             0.16                 24            94         NA            0.516097        NA               0.516097  4           0.00121502   8e-06    1           0.00827542  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          22.26         545                5                  NA            NA            NA            24576         64            NA           NA            NA               24192            393            384         0.0729335            0.25                 31            88         NA            0.774145        NA               0.774145  4           0.00382934   8e-06    1           0.0242019   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          29.51         735                6                  NA            NA            NA            32768         64            NA           NA            NA               32256            521            512         0.0707765            0.30                 42            94         NA            1.03219         NA               1.03219   4           0.00605289   8e-06    1           0.0189676   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          37.39         901                7                  NA            NA            NA            40960         64            NA           NA            NA               40320            649            640         0.0844119            0.35                 44            92         NA            1.29024         NA               1.29024   4           0.00726414   8e-06    1           0.0263627   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          44.22         1078               9                  NA            NA            NA            49152         64            NA           NA            NA               48384            777            768         0.103043             0.42                 51            92         NA            1.54829         NA               1.54829   4           0.00894507   8e-06    1           0.0319915   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          51.72         1220               10                 NA            NA            NA            57344         64            NA           NA            NA               56448            905            896         0.125661             0.49                 56            90         NA            1.80634         NA               1.80634   4           0.0105944    8e-06    1           0.0396794   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          60.06         1430               11                 NA            NA            NA            65536         64            NA           NA            NA               64512            1033           1024        0.122938             0.55                 77            94         NA            2.06438         NA               2.06438   4           0.0122936    8e-06    1           0.0317239   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          67.06         1624               13                 NA            NA            NA            73728         64            NA           NA            NA               72576            1161           1152        0.173071             0.64                 78            88         NA            2.32243         NA               2.32243   4           0.014159     8e-06    1           0.05903     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
