program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          0.78          32                 1                  10          0.0164125            0.03                 11            66         NA            0.020161        NA
42       BINARY    semidishonest  yao             2          7.35          199                2                  128         0.0275251            0.11                 17            83         NA            0.258049        NA
42       BINARY    semidishonest  yao             2          14.83         376                3                  256         0.033411             0.16                 24            94         NA            0.516097        NA
42       BINARY    semidishonest  yao             2          22.26         545                5                  384         0.0729335            0.25                 31            88         NA            0.774145        NA
42       BINARY    semidishonest  yao             2          29.51         735                6                  512         0.0707765            0.30                 42            94         NA            1.03219         NA
42       BINARY    semidishonest  yao             2          37.39         901                7                  640         0.0844119            0.35                 44            92         NA            1.29024         NA
42       BINARY    semidishonest  yao             2          44.22         1078               9                  768         0.103043             0.42                 51            92         NA            1.54829         NA
42       BINARY    semidishonest  yao             2          51.72         1220               10                 896         0.125661             0.49                 56            90         NA            1.80634         NA
42       BINARY    semidishonest  yao             2          60.06         1430               11                 1024        0.122938             0.55                 77            94         NA            2.06438         NA
42       BINARY    semidishonest  yao             2          67.06         1624               13                 1152        0.173071             0.64                 78            88         NA            2.32243         NA
42       BINARY    semidishonest  yao             2          74.85         1785               14                 1280        0.178913             0.69                 78            93         NA            2.58048         NA
42       BINARY    semidishonest  yao             2          81.31         1953               16                 1408        0.217013             0.78                 84            91         NA            2.83853         NA
42       BINARY    semidishonest  yao             2          88.67         2107               17                 1536        0.228628             0.84                 88            89         NA            3.09658         NA
42       BINARY    semidishonest  yao             2          97.30         2269               18                 1664        0.259803             0.90                 94            91         NA            3.35462         NA
42       BINARY    semidishonest  yao             2          105.07        2444               20                 1792        0.279583             0.98                 104           89         NA            3.61267         NA
42       BINARY    semidishonest  yao             2          111.91        2616               21                 1920        0.293046             1.02                 106           91         NA            3.87072         NA
42       BINARY    semidishonest  yao             2          119.25        2836               22                 2048        0.307062             1.12                 148           91         NA            4.12877         NA
42       BINARY    semidishonest  yao             2          122.37        3086               24                 2176        0.329857             1.19                 148           91         NA            4.38682         NA
42       BINARY    semidishonest  yao             2          133.54        3221               25                 2304        0.34087              1.24                 149           90         NA            4.64486         NA
42       BINARY    semidishonest  yao             2          142.38        3389               27                 2432        0.36015              1.31                 149           92         NA            4.90291         NA
42       BINARY    semidishonest  yao             2          149.95        3558               28                 2560        0.391165             1.39                 150           90         NA            5.16096         NA
42       BINARY    semidishonest  yao             2          156.89        3733               29                 2688        0.404754             1.44                 151           92         NA            5.41901         NA
