program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          240.19        5653               44                 3000             4096        0.520234             2.15                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1000             4096        0.509849             2.12                 290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 900              4096        0.486824             2.06                 292           97         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 800              4096        0.507301             2.09                 290           97         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 700              4096        0.51242              2.10                 290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 600              4096        0.549232             2.19                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 500              4096        0.564286             2.19                 290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 400              4096        0.594337             2.18                 292           97         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 300              4096        0.650969             2.27                 290           97         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 200              4096        0.769438             2.37                 290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 100              4096        1.10654              2.69                 290           97         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 50               4096        1.79243              3.38                 290           96         NA            8.25754         NA
42       BINARY    semihonest     replicated-bin  3          240.19        5653               44                 3000             4096        0.183335             1.82                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1000             4096        0.196193             1.83                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 900              4096        0.206309             1.88                 290           94         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 800              4096        0.194852             1.84                 290           95         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 700              4096        0.1941               1.84                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 600              4096        0.188936             1.82                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 500              4096        0.19026              1.83                 292           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 400              4096        0.210646             1.89                 290           93         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 300              4096        0.205966             1.85                 290           95         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 200              4096        0.20077              1.85                 290           95         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 100              4096        0.218321             1.87                 290           95         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 50               4096        0.237392             1.88                 292           94         NA            0.520248        NA
