program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          240.12        5651               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           2.5         3000             4096        0.47057              2.10                 290           95         NA            8.25754         NA               8.25754  4           0.0620586  8e-06    1           0.120769  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         1000             4096        0.471577             2.06                 290           94         NA            8.25754         NA               8.25754  4           0.06469    8e-06    1           0.12514   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         800              4096        0.490976             2.07                 290           95         NA            8.25754         NA               8.25754  4           0.0808629  8e-06    1           0.118808  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         600              4096        0.519355             2.09                 290           95         NA            8.25754         NA               8.25754  4           0.10926    8e-06    1           0.120424  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         400              4096        0.577692             2.20                 290           95         NA            8.25754         NA               8.25754  4           0.162191   8e-06    1           0.126582  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         200              4096        0.741633             2.35                 290           93         NA            8.25754         NA               8.25754  4           0.325813   8e-06    1           0.121242  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         50               4096        1.76948              3.35                 290           95         NA            8.25754         NA               8.25754  4           1.30297    8e-06    1           0.11767   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         3000             4096        0.467611             2.05                 290           95         NA            8.25754         NA               8.25754  4           0.0595263  8e-06    1           0.121121  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         1000             4096        0.473856             2.05                 290           95         NA            8.25754         NA               8.25754  4           0.0651406  8e-06    1           0.122678  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         800              4096        0.496696             2.07                 290           95         NA            8.25754         NA               8.25754  4           0.0812624  8e-06    1           0.123092  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
