program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          240.12        5651               44                 2.5         3000             4096        0.47057              2.10                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5         1000             4096        0.471577             2.06                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5         800              4096        0.490976             2.07                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5         600              4096        0.519355             2.09                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5         400              4096        0.577692             2.20                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5         200              4096        0.741633             2.35                 290           93         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.5         50               4096        1.76948              3.35                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         3000             4096        0.467611             2.05                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         1000             4096        0.473856             2.05                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         800              4096        0.496696             2.07                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         600              4096        0.510901             2.09                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         400              4096        0.571055             2.15                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         200              4096        0.730318             2.30                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         50               4096        1.77532              3.43                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         3000             4096        0.493355             2.19                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         1000             4096        0.483655             2.13                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         800              4096        0.508801             2.16                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         600              4096        0.536461             2.24                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         400              4096        0.598762             2.30                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         200              4096        0.763344             2.46                 290           93         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         50               4096        1.78484              3.44                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.9         3000             4096        0.521583             2.35                 292           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.9         1000             4096        0.525649             2.35                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.9         800              4096        0.551904             2.38                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.9         600              4096        0.561635             2.38                 290           94         NA            8.25754         NA
