program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          237.12        5653               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           3000             4096        0.49423              2.16                 290           97         NA            8.25754         NA               8.25754  4           0.061975   8e-06    1           0.121618  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1000             4096        0.496291             2.10                 290           97         NA            8.25754         NA               8.25754  4           0.0642777  8e-06    1           0.122916  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             900              4096        0.496939             2.08                 290           96         NA            8.25754         NA               8.25754  4           0.0719302  8e-06    1           0.120482  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             800              4096        0.524869             2.12                 290           97         NA            8.25754         NA               8.25754  4           0.0818758  8e-06    1           0.126869  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             700              4096        0.529848             2.11                 290           97         NA            8.25754         NA               8.25754  4           0.0929071  8e-06    1           0.124237  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             600              4096        0.534547             2.14                 290           97         NA            8.25754         NA               8.25754  4           0.109116   8e-06    1           0.124281  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             500              4096        0.563107             2.15                 290           97         NA            8.25754         NA               8.25754  4           0.130027   8e-06    1           0.1199    NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             400              4096        0.58988              2.19                 290           96         NA            8.25754         NA               8.25754  4           0.163026   8e-06    1           0.123527  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             300              4096        0.649136             2.24                 292           97         NA            8.25754         NA               8.25754  4           0.218935   8e-06    1           0.12208   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             200              4096        0.748068             2.33                 290           97         NA            8.25754         NA               8.25754  4           0.326988   8e-06    1           0.11702   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
