program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          242.73        5668               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           4096        2               0.784863             3.96                 290           71         NA            8.25754         NA               8.25754  4           0.213413  8e-06    1           0.16938   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        4               1.5754               4.77                 290           71         NA            8.25754         NA               8.25754  4           0.809359  8e-06    1           0.17298   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        6               2.10093              4.50                 290           89         NA            8.25754         NA               8.25754  4           1.44376   8e-06    1           0.188676  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        8               5.81445              10.47                290           71         NA            8.25754         NA               8.25754  4           4.80555   8e-06    1           0.168982  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        10              5.4783               9.13                 290           82         NA            8.25754         NA               8.25754  4           4.88052   8e-06    1           0.184359  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        12              60.9466              65.01                290           96         NA            8.25754         NA               8.25754  4           60.0667   8e-06    1           0.39847   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        14              69.5372              73.78                290           96         NA            8.25754         NA               8.25754  4           68.5216   8e-06    1           0.186476  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        16              637.198              641.44               290           99         NA            8.25754         NA               8.25754  4           636.409   8e-06    1           0.436824  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        18              2239.96              2255.01              290           97         NA            8.25754         NA               8.25754  4           2202.46   8e-06    1           0.417891  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          242.73        5668               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           4096        2               0.905715             3.10                 290           82         NA            0               NA               NA       NA          NA        8.25754  2           0.633991  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        4               0.710453             4.95                 290           52         NA            0               NA               NA       NA          NA        8.25754  2           0.412841  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        6               1.04359              3.42                 290           75         NA            0               NA               NA       NA          NA        8.25754  2           0.955282  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        8               3.0162               6.18                 290           41         NA            0               NA               NA       NA          NA        8.25754  2           2.67293   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             4096        10              22.0737              26.78                292           9          NA            0               NA               NA       NA          NA        8.25754  2           21.8058   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
