program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          242.73        5668               44                 4096        2               0.784863             3.96                 290           71         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        4               1.5754               4.77                 290           71         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        6               2.10093              4.50                 290           89         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        8               5.81445              10.47                290           71         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        10              5.4783               9.13                 290           82         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        12              60.9466              65.01                290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        14              69.5372              73.78                290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        16              637.198              641.44               290           99         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 4096        18              2239.96              2255.01              290           97         NA            8.25754         NA
42       BINARY    semidishonest  yaoO            2          242.73        5668               44                 4096        2               0.905715             3.10                 290           82         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        4               0.710453             4.95                 290           52         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        6               1.04359              3.42                 290           75         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        8               3.0162               6.18                 290           41         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        10              22.0737              26.78                292           9          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        12              31.8511              35.08                290           7          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        14              69.8111              73.68                290           3          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        16              501.024              503.63               290           0          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 4096        18              834.319              843.68               290           0          NA            0               NA
42       BINARY    semihonest     replicated-bin  3          242.73        5668               44                 4096        2               0.312224             2.53                 290           92         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        4               0.270774             3.14                 290           76         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        6               0.649482             4.36                 290           55         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        8               1.64111              8.15                 290           30         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        10              0.698173             8.08                 290           30         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        12              3.34525              9.26                 290           26         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        14              18.7038              22.64                290           10         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        16              2.02717              6.76                 290           38         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 4096        18              4.9847               25.33                290           9          NA            0.520248        NA
