program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          238.80        5652               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           2.5         4096        0.475716             2.06                 290           94         NA            8.25754         NA               8.25754  4           0.0536911  8e-06    1           0.122698  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         4096        0.472818             2.06                 290           95         NA            8.25754         NA               8.25754  4           0.0524288  8e-06    1           0.122383  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         4096        0.482557             2.17                 290           95         NA            8.25754         NA               8.25754  4           0.0518909  8e-06    1           0.126468  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           4096        0.499911             2.24                 290           95         NA            8.25754         NA               8.25754  4           0.053106   8e-06    1           0.120232  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.9         4096        0.50967              2.33                 292           96         NA            8.25754         NA               8.25754  4           0.053323   8e-06    1           0.118835  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.8         4096        0.51597              2.43                 292           96         NA            8.25754         NA               8.25754  4           0.0537473  8e-06    1           0.120622  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.7         4096        0.53967              2.56                 292           96         NA            8.25754         NA               8.25754  4           0.0521688  8e-06    1           0.120589  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.6         4096        0.570948             2.72                 290           96         NA            8.25754         NA               8.25754  4           0.0532664  8e-06    1           0.120499  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.4         4096        0.592203             3.04                 290           97         NA            8.25754         NA               8.25754  4           0.0532911  8e-06    1           0.124989  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.2         4096        0.662911             3.53                 290           97         NA            8.25754         NA               8.25754  4           0.0530118  8e-06    1           0.123579  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          238.80        5652               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           2.5         4096        0.464648             2.05                 290           88         NA            0               NA               NA       NA          NA         8.25754  2           0.227894  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         4096        0.465075             2.09                 290           85         NA            0               NA               NA       NA          NA         8.25754  2           0.225438  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         4096        0.485411             2.16                 290           83         NA            0               NA               NA       NA          NA         8.25754  2           0.227527  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           4096        0.481573             2.23                 290           81         NA            0               NA               NA       NA          NA         8.25754  2           0.223864  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.9         4096        0.503204             2.33                 290           77         NA            0               NA               NA       NA          NA         8.25754  2           0.226732  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.8         4096        0.518493             2.43                 290           74         NA            0               NA               NA       NA          NA         8.25754  2           0.225451  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.7         4096        0.516089             2.55                 290           71         NA            0               NA               NA       NA          NA         8.25754  2           0.226318  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.6         4096        0.540723             2.71                 290           67         NA            0               NA               NA       NA          NA         8.25754  2           0.223497  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.4         4096        0.582585             3.04                 290           59         NA            0               NA               NA       NA          NA         8.25754  2           0.225062  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.2         4096        0.624139             3.49                 290           52         NA            0               NA               NA       NA          NA         8.25754  2           0.221686  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          238.80        5652               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           2.5         4096        0.143237             1.77                 290           97         NA            0.520248        NA               4.8e-05  3           0.138407   4.8e-05  3           0.143416  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0118104   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         4096        0.138235             1.78                 290           98         NA            0.520248        NA               4.8e-05  3           0.133441   4.8e-05  3           0.138734  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0117188   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         4096        0.150739             1.85                 290           98         NA            0.520248        NA               4.8e-05  3           0.146472   4.8e-05  3           0.150221  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0115425   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           4096        0.149104             1.94                 290           98         NA            0.520248        NA               4.8e-05  3           0.144586   4.8e-05  3           0.148626  NA             NA                 NA            NA        NA            NA       0.5202       8                0.00909084  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.9         4096        0.161893             2.02                 290           98         NA            0.520248        NA               4.8e-05  3           0.15627    4.8e-05  3           0.162022  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0115777   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.8         4096        0.173843             2.21                 290           95         NA            0.520248        NA               4.8e-05  3           0.167951   4.8e-05  3           0.174252  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0152179   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
