program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          238.80        5652               44                 2.5         4096        0.475716             2.06                 290           94         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.3         4096        0.472818             2.06                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2.1         4096        0.482557             2.17                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 2           4096        0.499911             2.24                 290           95         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.9         4096        0.50967              2.33                 292           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.8         4096        0.51597              2.43                 292           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.7         4096        0.53967              2.56                 292           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.6         4096        0.570948             2.72                 290           96         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.4         4096        0.592203             3.04                 290           97         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.2         4096        0.662911             3.53                 290           97         NA            8.25754         NA
42       BINARY    semidishonest  yaoO            2          238.80        5652               44                 2.5         4096        0.464648             2.05                 290           88         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 2.3         4096        0.465075             2.09                 290           85         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 2.1         4096        0.485411             2.16                 290           83         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 2           4096        0.481573             2.23                 290           81         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 1.9         4096        0.503204             2.33                 290           77         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 1.8         4096        0.518493             2.43                 290           74         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 1.7         4096        0.516089             2.55                 290           71         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 1.6         4096        0.540723             2.71                 290           67         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 1.4         4096        0.582585             3.04                 290           59         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 1.2         4096        0.624139             3.49                 290           52         NA            0               NA
42       BINARY    semihonest     replicated-bin  3          238.80        5652               44                 2.5         4096        0.143237             1.77                 290           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         4096        0.138235             1.78                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.1         4096        0.150739             1.85                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2           4096        0.149104             1.94                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.9         4096        0.161893             2.02                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.8         4096        0.173843             2.21                 290           95         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.7         4096        0.17529              2.25                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.6         4096        0.187275             2.39                 292           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.4         4096        0.203559             2.72                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.2         4096        0.240596             3.17                 290           98         NA            0.520248        NA
