program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
42;BINARY;semidishonest;yao;2;237.56;5652;44;NA;NA;NA;262144;64;NA;NA;NA;258048;4105;2.5;3000;4096;0.466242;2.04;290;95;NA;8.25754;NA;8.25754;4;0.0621256;8e-06;1;0.119904;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;1000;4096;0.472122;2.06;290;95;NA;8.25754;NA;8.25754;4;0.0659944;8e-06;1;0.118384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;800;4096;0.477432;2.06;290;95;NA;8.25754;NA;8.25754;4;0.0814684;8e-06;1;0.115476;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;600;4096;0.516095;2.13;290;95;NA;8.25754;NA;8.25754;4;0.10918;8e-06;1;0.118966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;400;4096;0.567107;2.15;290;95;NA;8.25754;NA;8.25754;4;0.161329;8e-06;1;0.11811;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;200;4096;0.748004;2.38;290;95;NA;8.25754;NA;8.25754;4;0.322658;8e-06;1;0.122941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;50;4096;1.7675;3.35;290;95;NA;8.25754;NA;8.25754;4;1.29806;8e-06;1;0.114688;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;3000;4096;0.472926;2.05;290;94;NA;8.25754;NA;8.25754;4;0.0618955;8e-06;1;0.125417;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;1000;4096;0.475398;2.05;290;95;NA;8.25754;NA;8.25754;4;0.0656861;8e-06;1;0.125696;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;800;4096;0.49022;2.07;290;95;NA;8.25754;NA;8.25754;4;0.0820077;8e-06;1;0.119975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;600;4096;0.521479;2.10;290;95;NA;8.25754;NA;8.25754;4;0.110054;8e-06;1;0.127255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;400;4096;0.572292;2.15;290;95;NA;8.25754;NA;8.25754;4;0.163006;8e-06;1;0.120841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;200;4096;0.744937;2.36;290;95;NA;8.25754;NA;8.25754;4;0.327823;8e-06;1;0.123773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;50;4096;1.78395;3.36;290;95;NA;8.25754;NA;8.25754;4;1.29883;8e-06;1;0.126188;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;3000;4096;0.487768;2.19;290;93;NA;8.25754;NA;8.25754;4;0.0618062;8e-06;1;0.121818;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;1000;4096;0.490302;2.18;290;95;NA;8.25754;NA;8.25754;4;0.0645525;8e-06;1;0.126226;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;800;4096;0.506152;2.17;292;95;NA;8.25754;NA;8.25754;4;0.0808435;8e-06;1;0.128145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;600;4096;0.535381;2.19;290;95;NA;8.25754;NA;8.25754;4;0.108147;8e-06;1;0.130401;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;400;4096;0.591492;2.24;292;95;NA;8.25754;NA;8.25754;4;0.162773;8e-06;1;0.126508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;200;4096;0.761444;2.43;290;95;NA;8.25754;NA;8.25754;4;0.326391;8e-06;1;0.125054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;50;4096;1.79392;3.45;290;95;NA;8.25754;NA;8.25754;4;1.29995;8e-06;1;0.125987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;3000;4096;0.521508;2.36;290;95;NA;8.25754;NA;8.25754;4;0.0600079;8e-06;1;0.134266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;1000;4096;0.531474;2.35;290;94;NA;8.25754;NA;8.25754;4;0.0645752;8e-06;1;0.142643;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;800;4096;0.540041;2.37;292;95;NA;8.25754;NA;8.25754;4;0.0811913;8e-06;1;0.134714;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;600;4096;0.568156;2.40;290;95;NA;8.25754;NA;8.25754;4;0.107547;8e-06;1;0.134278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;400;4096;0.634832;2.48;290;95;NA;8.25754;NA;8.25754;4;0.162844;8e-06;1;0.139974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;200;4096;0.79159;2.60;290;95;NA;8.25754;NA;8.25754;4;0.32856;8e-06;1;0.135231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;50;4096;1.82474;3.65;290;95;NA;8.25754;NA;8.25754;4;1.3023;8e-06;1;0.134162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;3000;4096;0.567708;2.59;290;95;NA;8.25754;NA;8.25754;4;0.065271;8e-06;1;0.144502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;1000;4096;0.568887;2.60;290;95;NA;8.25754;NA;8.25754;4;0.0660698;8e-06;1;0.148701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;800;4096;0.593458;2.62;290;95;NA;8.25754;NA;8.25754;4;0.0825655;8e-06;1;0.150066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;600;4096;0.617383;2.68;290;95;NA;8.25754;NA;8.25754;4;0.107803;8e-06;1;0.150479;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;400;4096;0.683572;2.70;290;95;NA;8.25754;NA;8.25754;4;0.162252;8e-06;1;0.152163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;200;4096;0.844611;2.86;290;95;NA;8.25754;NA;8.25754;4;0.326628;8e-06;1;0.146301;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;50;4096;1.87977;3.96;290;95;NA;8.25754;NA;8.25754;4;1.296;8e-06;1;0.150413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;3000;4096;0.618741;2.96;290;95;NA;8.25754;NA;8.25754;4;0.0638652;8e-06;1;0.15971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;1000;4096;0.623515;2.90;290;95;NA;8.25754;NA;8.25754;4;0.0655912;8e-06;1;0.1668;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;800;4096;0.633947;2.94;290;94;NA;8.25754;NA;8.25754;4;0.0821935;8e-06;1;0.163549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;600;4096;0.674667;2.97;290;95;NA;8.25754;NA;8.25754;4;0.107229;8e-06;1;0.162461;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;400;4096;0.731745;3.03;290;95;NA;8.25754;NA;8.25754;4;0.164623;8e-06;1;0.170547;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;200;4096;0.911041;3.25;290;95;NA;8.25754;NA;8.25754;4;0.326273;8e-06;1;0.162584;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;50;4096;1.93159;4.23;290;94;NA;8.25754;NA;8.25754;4;1.29755;8e-06;1;0.168552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
