program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          238.51        5652               44                 350            4096        8.8308               15.00                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 380            4096        9.55752              15.35                290           62         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 410            4096        10.2724              16.41                292           62         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 440            4096        10.9865              17.44                290           61         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 470            4096        11.7602              18.53                290           61         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 500            4096        12.4329              19.54                292           61         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 530            4096        13.2056              20.68                290           61         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 560            4096        13.8743              21.65                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 590            4096        14.5972              22.69                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 620            4096        15.3097              23.74                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 650            4096        16.0324              24.79                292           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 680            4096        16.7489              25.85                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 710            4096        17.4811              26.90                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 740            4096        18.2072              27.95                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 770            4096        18.9255              29.00                290           60         NA            8.25754         NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 800            4096        19.6815              30.11                290           59         NA            8.25754         NA
42       BINARY    semidishonest  yaoO            2          238.51        5652               44                 350            4096        7.4241               13.25                290           13         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 380            4096        8.06279              14.25                290           12         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 410            4096        8.6215               15.16                290           12         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 440            4096        9.24028              16.15                290           11         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 470            4096        9.81698              17.08                290           10         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 500            4096        10.4641              18.09                290           10         NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 530            4096        11.0258              19.01                290           9          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 560            4096        11.6722              20.02                290           9          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 590            4096        12.2602              20.97                290           8          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 620            4096        12.8175              21.88                290           8          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 650            4096        13.4181              22.84                290           8          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 680            4096        14.0201              23.80                290           7          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 710            4096        14.678               24.82                290           7          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 740            4096        15.2652              25.77                290           7          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 770            4096        15.8702              26.73                290           6          NA            0               NA
42       BINARY    semidishonest  yaoO            2          NA            NA                 NA                 800            4096        16.4247              27.64                290           6          NA            0               NA
42       BINARY    semihonest     replicated-bin  3          238.51        5652               44                 350            4096        10.0469              25.39                290           7          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 380            4096        10.8872              26.64                290           7          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 410            4096        11.7238              28.60                290           6          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 440            4096        12.5679              30.55                290           6          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 470            4096        13.4097              32.50                290           5          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 500            4096        14.2468              34.46                292           5          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 530            4096        15.0839              36.40                290           5          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 560            4096        15.9337              38.35                290           4          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 590            4096        16.7675              40.30                290           4          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 620            4096        17.6076              42.25                290           4          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 650            4096        18.4475              44.19                292           4          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 680            4096        19.2903              46.15                290           4          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 710            4096        20.1271              48.09                290           3          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 740            4096        20.9692              50.09                292           3          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 770            4096        21.8073              52.00                290           3          NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 800            4096        22.6476              53.95                290           3          NA            0.520248        NA
