program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       BINARY    semidishonest  yao             2          11.90         266                2                  5              3000             4096        0.704584             0.84                 56            79         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 5              1000             4096        0.704074             0.84                 55            78         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 5              800              4096        0.747037             0.88                 58            83         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 5              600              4096        0.89678              1.03                 55            81         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 5              400              4096        1.12615              1.25                 57            82         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 5              200              4096        1.8322               1.97                 59            86         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 5              50               4096        6.04495              6.18                 55            93         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 10             3000             4096        0.713836             0.86                 57            78         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 10             1000             4096        0.711701             0.84                 55            79         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 10             800              4096        0.781371             0.91                 54            78         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 10             600              4096        0.909546             1.04                 55            80         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 10             400              4096        1.13218              1.26                 55            82         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 10             200              4096        1.81838              1.95                 55            86         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 10             50               4096        6.04652              6.17                 55            93         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 15             3000             4096        0.681565             0.81                 57            80         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 15             1000             4096        0.715699             0.85                 56            78         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 15             800              4096        0.77173              0.91                 57            79         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 15             600              4096        0.896478             1.03                 57            80         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 15             400              4096        1.13479              1.27                 55            83         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 15             200              4096        1.83958              1.97                 56            87         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 15             50               4096        6.0514               6.18                 54            94         NA            33.9477         NA
31       BINARY    semidishonest  yao             2          NA            NA                 NA                 20             3000             4096        0.713348             0.85                 56            78         NA            33.9477         NA
