program  c.domain  adv.model      protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao       2          0.79          32                 1                  10          0.0162136            0.04                 11            59         NA            0.020161        NA
42       BINARY    semidishonest  yao       2          7.36          199                2                  128         0.024055             0.09                 17            89         NA            0.258049        NA
42       BINARY    semidishonest  yao       2          14.82         376                3                  256         0.0312875            0.15                 27            95         NA            0.516097        NA
42       BINARY    semidishonest  yao       2          22.26         545                5                  384         0.0488338            0.21                 31            96         NA            0.774145        NA
42       BINARY    semidishonest  yao       2          29.61         735                6                  512         0.0629001            0.28                 42            94         NA            1.03219         NA
42       BINARY    semidishonest  yao       2          37.39         901                7                  640         0.0778031            0.34                 44            95         NA            1.29024         NA
42       BINARY    semidishonest  yao       2          44.69         1078               9                  768         0.0920143            0.41                 49            96         NA            1.54829         NA
42       BINARY    semidishonest  yao       2          51.78         1220               10                 896         0.1038               0.47                 56            95         NA            1.80634         NA
42       BINARY    semidishonest  yao       2          60.15         1430               11                 1024        0.120407             0.54                 77            96         NA            2.06438         NA
42       BINARY    semidishonest  yao       2          66.99         1623               13                 1152        0.133029             0.59                 78            95         NA            2.32243         NA
42       BINARY    semidishonest  yao       2          74.64         1785               14                 1280        0.160329             0.67                 78            95         NA            2.58048         NA
42       BINARY    semidishonest  yao       2          81.21         1952               16                 1408        0.177647             0.72                 81            97         NA            2.83853         NA
42       BINARY    semidishonest  yao       2          86.82         2105               17                 1536        0.187633             0.78                 89            96         NA            3.09658         NA
42       BINARY    semidishonest  yao       2          96.02         2269               18                 1664        0.202197             0.85                 94            96         NA            3.35462         NA
42       BINARY    semidishonest  yao       2          104.25        2445               20                 1792        0.214172             0.90                 101           96         NA            3.61267         NA
42       BINARY    semidishonest  yao       2          109.42        2616               21                 1920        0.238537             0.97                 108           95         NA            3.87072         NA
42       BINARY    semidishonest  yao       2          119.14        2839               22                 2048        0.248202             1.06                 148           97         NA            4.12877         NA
42       BINARY    semidishonest  yao       2          125.10        3086               24                 2176        0.254147             1.11                 148           96         NA            4.38682         NA
42       BINARY    semidishonest  yao       2          133.40        3222               25                 2304        0.297399             1.21                 150           95         NA            4.64486         NA
42       BINARY    semidishonest  yao       2          143.06        3390               27                 2432        0.2954               1.23                 151           97         NA            4.90291         NA
42       BINARY    semidishonest  yao       2          148.84        3557               28                 2560        0.317831             1.31                 151           96         NA            5.16096         NA
42       BINARY    semidishonest  yao       2          156.69        3732               29                 2688        0.325623             1.36                 151           96         NA            5.41901         NA
42       BINARY    semidishonest  yao       2          164.38        3915               31                 2816        0.336568             1.41                 153           97         NA            5.67706         NA
42       BINARY    semidishonest  yao       2          171.50        4067               32                 2944        0.360124             1.48                 159           97         NA            5.93511         NA
42       BINARY    semidishonest  yao       2          178.75        4225               33                 3072        0.367023             1.52                 166           97         NA            6.19315         NA
42       BINARY    semidishonest  yao       2          186.82        4377               35                 3200        0.391902             1.61                 173           95         NA            6.4512          NA
42       BINARY    semidishonest  yao       2          193.30        4545               36                 3328        0.40506              1.67                 178           97         NA            6.70925         NA
42       BINARY    semidishonest  yao       2          203.00        4700               38                 3456        0.417869             1.72                 185           97         NA            6.9673          NA
42       BINARY    semidishonest  yao       2          206.36        4819               39                 3584        0.447503             1.79                 191           96         NA            7.22534         NA
42       BINARY    semidishonest  yao       2          215.55        5007               40                 3712        0.451472             1.83                 198           97         NA            7.48339         NA
42       BINARY    semidishonest  yao       2          222.75        5157               42                 3840        0.457351             1.89                 204           96         NA            7.74144         NA
42       BINARY    semidishonest  yao       2          229.96        5316               43                 3968        0.480088             1.95                 212           96         NA            7.99949         NA
42       BINARY    semidishonest  yao       2          229.97        5667               44                 4096        0.501483             2.11                 290           97         NA            8.25754         NA
42       BINARY    semidishonest  yaoO      2          0.79          32                 1                  10          0.00209947           0.04                 10            65         NA            0               NA
42       BINARY    semidishonest  yaoO      2          7.36          199                2                  128         0.00667651           0.09                 18            81         NA            0               NA
42       BINARY    semidishonest  yaoO      2          14.82         376                3                  256         0.0170094            0.14                 25            91         NA            0               NA
42       BINARY    semidishonest  yaoO      2          22.26         545                5                  384         0.0394965            0.21                 28            85         NA            0               NA
42       BINARY    semidishonest  yaoO      2          29.61         735                6                  512         0.045255             0.28                 41            86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          37.39         901                7                  640         0.0702526            0.35                 44            84         NA            0               NA
42       BINARY    semidishonest  yaoO      2          44.69         1078               9                  768         0.0778346            0.40                 50            87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          51.78         1220               10                 896         0.0897583            0.45                 54            89         NA            0               NA
42       BINARY    semidishonest  yaoO      2          60.15         1430               11                 1024        0.119466             0.54                 77            86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          66.99         1623               13                 1152        0.119664             0.58                 78            88         NA            0               NA
42       BINARY    semidishonest  yaoO      2          74.64         1785               14                 1280        0.133261             0.66                 78            86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          81.21         1952               16                 1408        0.170536             0.73                 82            85         NA            0               NA
42       BINARY    semidishonest  yaoO      2          86.82         2105               17                 1536        0.178694             0.77                 86            86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          96.02         2269               18                 1664        0.196335             0.86                 94            83         NA            0               NA
42       BINARY    semidishonest  yaoO      2          104.25        2445               20                 1792        0.197117             0.89                 101           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          109.42        2616               21                 1920        0.205                0.94                 107           88         NA            0               NA
42       BINARY    semidishonest  yaoO      2          119.14        2839               22                 2048        0.230916             1.06                 148           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          125.10        3086               24                 2176        0.249456             1.10                 148           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          133.40        3222               25                 2304        0.275646             1.19                 149           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          143.06        3390               27                 2432        0.280793             1.23                 149           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          148.84        3557               28                 2560        0.297808             1.29                 150           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          156.69        3732               29                 2688        0.31649              1.35                 151           86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          164.38        3915               31                 2816        0.339193             1.43                 152           86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          171.50        4067               32                 2944        0.338425             1.47                 158           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          178.75        4225               33                 3072        0.35942              1.55                 163           85         NA            0               NA
42       BINARY    semidishonest  yaoO      2          186.82        4377               35                 3200        0.366542             1.60                 171           86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          193.30        4545               36                 3328        0.384929             1.65                 177           86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          203.00        4700               38                 3456        0.406957             1.70                 184           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          206.36        4819               39                 3584        0.431115             1.78                 190           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          215.55        5007               40                 3712        0.44409              1.83                 198           86         NA            0               NA
42       BINARY    semidishonest  yaoO      2          222.75        5157               42                 3840        0.439806             1.87                 205           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          229.96        5316               43                 3968        0.472357             1.95                 210           87         NA            0               NA
42       BINARY    semidishonest  yaoO      2          229.97        5667               44                 4096        0.4926               2.10                 290           86         NA            0               NA
