program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          237.49        5652               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           1000             4096        0.201977             1.79                 290           96         NA            0.520248        NA               4.8e-05  3           0.18643   4.8e-05  3           0.201727  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0510622   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             900              4096        0.200327             1.85                 290           96         NA            0.520248        NA               4.8e-05  3           0.194409  4.8e-05  3           0.200936  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0581932   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             800              4096        0.215566             1.81                 290           96         NA            0.520248        NA               4.8e-05  3           0.192015  4.8e-05  3           0.215343  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0506627   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             700              4096        0.190824             1.79                 290           96         NA            0.520248        NA               4.8e-05  3           0.184891  4.8e-05  3           0.190344  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0518528   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             600              4096        0.207231             1.80                 290           96         NA            0.520248        NA               4.8e-05  3           0.199382  4.8e-05  3           0.207285  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0548677   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             500              4096        0.272844             1.88                 290           93         NA            0.520248        NA               4.8e-05  3           0.202253  4.8e-05  3           0.272352  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0484472   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             400              4096        0.202203             1.82                 290           96         NA            0.520248        NA               4.8e-05  3           0.192709  4.8e-05  3           0.201781  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0521453   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             300              4096        0.304848             1.90                 290           92         NA            0.520248        NA               4.8e-05  3           0.20917   4.8e-05  3           0.304588  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0513089   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             200              4096        0.211868             1.82                 290           96         NA            0.520248        NA               4.8e-05  3           0.206673  4.8e-05  3           0.211508  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0628169   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100              4096        0.227478             1.82                 290           95         NA            0.520248        NA               4.8e-05  3           0.217956  4.8e-05  3           0.227028  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0693976   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
