program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)       Rx(MB)   Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)   Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          0.78          32                 1                  NA            NA            NA            640           64            NA           NA            NA               630              19             10          0.00370131           0.02                 7             60         NA            0.001326        NA               4.8e-05  3           0.0014715   4.8e-05  3           0.00353617  NA             NA                 NA            NA        NA            NA       0.001278     8                0.000834687  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          7.40          199                2                  NA            NA            NA            8192          64            NA           NA            NA               8064             137            128         0.00845122           0.08                 15            89         NA            0.016312        NA               4.8e-05  3           0.00760983  4.8e-05  3           0.00820398  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00215787   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          14.66         376                3                  NA            NA            NA            16384         64            NA           NA            NA               16128            265            256         0.0149267            0.12                 25            93         NA            0.032568        NA               4.8e-05  3           0.0134921   4.8e-05  3           0.0146938   NA             NA                 NA            NA        NA            NA       0.03252      8                0.002104     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          22.49         545                5                  NA            NA            NA            24576         64            NA           NA            NA               24192            393            384         0.0202483            0.18                 26            96         NA            0.048824        NA               4.8e-05  3           0.0185093   4.8e-05  3           0.0200101   NA             NA                 NA            NA        NA            NA       0.048776     8                0.00271351   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          29.55         735                6                  NA            NA            NA            32768         64            NA           NA            NA               32256            521            512         0.0298276            0.24                 41            96         NA            0.06508         NA               4.8e-05  3           0.0262506   4.8e-05  3           0.0300584   NA             NA                 NA            NA        NA            NA       0.065032     8                0.00334415   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          37.46         901                7                  NA            NA            NA            40960         64            NA           NA            NA               40320            649            640         0.0420144            0.29                 42            95         NA            0.081336        NA               4.8e-05  3           0.0313319   4.8e-05  3           0.0417739   NA             NA                 NA            NA        NA            NA       0.081288     8                0.0033406    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          44.67         1079               9                  NA            NA            NA            49152         64            NA           NA            NA               48384            777            768         0.044517             0.35                 43            96         NA            0.097592        NA               4.8e-05  3           0.036905    4.8e-05  3           0.0443199   NA             NA                 NA            NA        NA            NA       0.097544     8                0.00585868   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          51.81         1221               10                 NA            NA            NA            57344         64            NA           NA            NA               56448            905            896         0.0538009            0.39                 47            96         NA            0.113848        NA               4.8e-05  3           0.0434225   4.8e-05  3           0.0535142   NA             NA                 NA            NA        NA            NA       0.1138       8                0.00568738   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          59.85         1430               11                 NA            NA            NA            65536         64            NA           NA            NA               64512            1033           1024        0.0493525            0.47                 77            97         NA            0.130104        NA               4.8e-05  3           0.0467901   4.8e-05  3           0.0493094   NA             NA                 NA            NA        NA            NA       0.130056     8                0.00697659   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          67.55         1624               13                 NA            NA            NA            73728         64            NA           NA            NA               72576            1161           1152        0.0644906            0.51                 78            96         NA            0.14636         NA               4.8e-05  3           0.0551446   4.8e-05  3           0.0642569   NA             NA                 NA            NA        NA            NA       0.146312     8                0.00907283   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
