program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
42;BINARY;semihonest;replicated-bin;3;237.99;5652;44;NA;NA;NA;262144;64;NA;NA;NA;258048;4105;2.5;4096;0.134632;1.73;290;99;NA;0.520248;NA;4.8e-05;3;0.130958;4.8e-05;3;0.134431;NA;NA;NA;NA;NA;NA;0.5202;8;0.00644483;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;4096;0.144973;1.73;290;99;NA;0.520248;NA;4.8e-05;3;0.133847;4.8e-05;3;0.144768;NA;NA;NA;NA;NA;NA;0.5202;8;0.00968162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;4096;0.178184;1.84;290;97;NA;0.520248;NA;4.8e-05;3;0.141255;4.8e-05;3;0.17797;NA;NA;NA;NA;NA;NA;0.5202;8;0.0109313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4096;0.147401;1.93;292;99;NA;0.520248;NA;4.8e-05;3;0.143379;4.8e-05;3;0.14724;NA;NA;NA;NA;NA;NA;0.5202;8;0.00697151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;4096;0.170108;2.00;290;98;NA;0.520248;NA;4.8e-05;3;0.155363;4.8e-05;3;0.169866;NA;NA;NA;NA;NA;NA;0.5202;8;0.00754786;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8;4096;0.219443;2.16;290;96;NA;0.520248;NA;4.8e-05;3;0.158863;4.8e-05;3;0.219198;NA;NA;NA;NA;NA;NA;0.5202;8;0.00902309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;4096;0.174575;2.27;290;99;NA;0.520248;NA;4.8e-05;3;0.169887;4.8e-05;3;0.174525;NA;NA;NA;NA;NA;NA;0.5202;8;0.0164184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6;4096;0.183373;2.42;290;99;NA;0.520248;NA;4.8e-05;3;0.178322;4.8e-05;3;0.183163;NA;NA;NA;NA;NA;NA;0.5202;8;0.0151965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;4096;0.217613;2.52;290;98;NA;0.520248;NA;4.8e-05;3;0.187701;4.8e-05;3;0.217635;NA;NA;NA;NA;NA;NA;0.5202;8;0.0155616;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4;4096;0.203805;2.71;290;99;NA;0.520248;NA;4.8e-05;3;0.198067;4.8e-05;3;0.20354;NA;NA;NA;NA;NA;NA;0.5202;8;0.00908442;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
