program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          242.22        5652               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           1              4096        0.212542             1.83                 290           95         NA            0.520248        NA               4.8e-05  3           0.206423  4.8e-05  3           0.214547  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0702192   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             4096        0.494426             2.23                 290           85         NA            0.520248        NA               4.8e-05  3           0.467338  4.8e-05  3           0.503649  NA             NA                 NA            NA        NA            NA       0.5202       8                0.278183    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             4096        0.76508              2.62                 290           79         NA            0.520248        NA               4.8e-05  3           0.719177  4.8e-05  3           0.785615  NA             NA                 NA            NA        NA            NA       0.5202       8                0.506373    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             4096        1.02377              3.05                 290           71         NA            0.520248        NA               4.8e-05  3           0.956801  4.8e-05  3           1.05339   NA             NA                 NA            NA        NA            NA       0.5202       8                0.736944    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             4096        1.29828              3.38                 290           68         NA            0.520248        NA               4.8e-05  3           1.21059   4.8e-05  3           1.33775   NA             NA                 NA            NA        NA            NA       0.5202       8                0.967365    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             50             4096        1.5583               3.86                 290           63         NA            0.520248        NA               4.8e-05  3           1.45058   4.8e-05  3           1.60692   NA             NA                 NA            NA        NA            NA       0.5202       8                1.19313     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            4096        2.85293              5.65                 290           51         NA            0.520248        NA               4.8e-05  3           2.64425   4.8e-05  3           2.95197   NA             NA                 NA            NA        NA            NA       0.5202       8                2.34714     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             150            4096        4.16043              7.46                 292           45         NA            0.520248        NA               4.8e-05  3           3.85186   4.8e-05  3           4.31033   NA             NA                 NA            NA        NA            NA       0.5202       8                3.49903     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             200            4096        5.46585              9.71                 290           39         NA            0.520248        NA               4.8e-05  3           5.05712   4.8e-05  3           5.6656    NA             NA                 NA            NA        NA            NA       0.5202       8                4.64841     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             250            4096        6.76331              11.16                290           39         NA            0.520248        NA               4.8e-05  3           6.2547    4.8e-05  3           7.0132    NA             NA                 NA            NA        NA            NA       0.5202       8                5.79726     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
