program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          242.22        5652               44                 1              4096        0.212542             1.83                 290           95         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             4096        0.494426             2.23                 290           85         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             4096        0.76508              2.62                 290           79         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             4096        1.02377              3.05                 290           71         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             4096        1.29828              3.38                 290           68         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 50             4096        1.5583               3.86                 290           63         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            4096        2.85293              5.65                 290           51         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 150            4096        4.16043              7.46                 292           45         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            4096        5.46585              9.71                 290           39         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 250            4096        6.76331              11.16                290           39         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            4096        8.05937              12.99                290           37         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 350            4096        9.35797              14.85                290           36         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            4096        10.6641              16.70                290           35         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 450            4096        11.9603              18.56                290           34         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            4096        13.2558              20.40                290           33         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 550            4096        14.5629              22.26                292           33         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            4096        15.8623              24.10                290           32         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 650            4096        17.1655              25.97                290           32         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            4096        18.4565              27.81                290           31         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 750            4096        19.7597              29.65                290           31         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            4096        21.0629              31.51                292           31         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 850            4096        22.3658              33.37                290           31         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            4096        23.663               35.21                290           30         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 950            4096        24.9581              37.07                290           30         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1000           4096        26.2617              38.90                290           30         NA            0.520248        NA
