program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)       Rx(MB)   Rx(rounds)  Rx(s)       Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          7.54          194                2                  NA            NA            NA            8192          64            NA           NA            NA               8064             137            1              1000             128         0.00771576           0.09                 16            86         NA            0.016312        NA               4.8e-05  3           0.00699283  4.8e-05  3           0.00763102  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00151636  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              800              128         0.00795876           0.08                 15            89         NA            0.016312        NA               4.8e-05  3           0.00701528  4.8e-05  3           0.00773375  NA             NA                 NA            NA        NA            NA       0.016264     8                0.0014119   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              600              128         0.018699             0.07                 16            83         NA            0.016312        NA               4.8e-05  3           0.00707212  4.8e-05  3           0.0184423   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00125974  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              400              128         0.00881016           0.08                 15            91         NA            0.016312        NA               4.8e-05  3           0.00647697  4.8e-05  3           0.00871054  NA             NA                 NA            NA        NA            NA       0.016264     8                0.0023229   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              200              128         0.00853608           0.08                 17            96         NA            0.016312        NA               4.8e-05  3           0.00776749  4.8e-05  3           0.00843263  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00173374  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              100              128         0.00875435           0.08                 16            95         NA            0.016312        NA               4.8e-05  3           0.00794971  4.8e-05  3           0.00854088  NA             NA                 NA            NA        NA            NA       0.016264     8                0.0019341   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              50               128         0.0175948            0.08                 15            82         NA            0.016312        NA               4.8e-05  3           0.00758586  4.8e-05  3           0.017424    NA             NA                 NA            NA        NA            NA       0.016264     8                0.0019402   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              30               128         0.00996955           0.07                 15            89         NA            0.016312        NA               4.8e-05  3           0.00805094  4.8e-05  3           0.00964213  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00215753  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             1000             128         0.0196091            0.07                 15            81         NA            0.016312        NA               4.8e-05  3           0.00727208  4.8e-05  3           0.0193792   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00129201  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             800              128         0.0102743            0.08                 15            90         NA            0.016312        NA               4.8e-05  3           0.00766443  4.8e-05  3           0.0100391   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00190814  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             600              128         0.0119362            0.08                 15            92         NA            0.016312        NA               4.8e-05  3           0.00928579  4.8e-05  3           0.0116833   NA             NA                 NA            NA        NA            NA       0.016264     8                0.0021442   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             400              128         0.00832956           0.07                 15            98         NA            0.016312        NA               4.8e-05  3           0.0075676   4.8e-05  3           0.00809302  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00182111  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             200              128         0.00987429           0.08                 17            95         NA            0.016312        NA               4.8e-05  3           0.00764926  4.8e-05  3           0.00964904  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00174772  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             100              128         0.0103748            0.08                 15            93         NA            0.016312        NA               4.8e-05  3           0.00755491  4.8e-05  3           0.0101607   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00154093  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             50               128         0.0138379            0.08                 15            91         NA            0.016312        NA               4.8e-05  3           0.00879313  4.8e-05  3           0.0134536   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00203295  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             30               128         0.0186071            0.07                 16            84         NA            0.016312        NA               4.8e-05  3           0.00842039  4.8e-05  3           0.0183274   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00233803  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             1000             128         0.00883822           0.08                 15            91         NA            0.016312        NA               4.8e-05  3           0.00796022  4.8e-05  3           0.00880645  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00170523  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             800              128         0.0163603            0.08                 15            74         NA            0.016312        NA               4.8e-05  3           0.0058845   4.8e-05  3           0.016258    NA             NA                 NA            NA        NA            NA       0.016264     8                0.00206223  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             600              128         0.0105287            0.08                 17            86         NA            0.016312        NA               4.8e-05  3           0.00852724  4.8e-05  3           0.011075    NA             NA                 NA            NA        NA            NA       0.016264     8                0.00189684  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             400              128         0.00956674           0.08                 16            90         NA            0.016312        NA               4.8e-05  3           0.00867797  4.8e-05  3           0.00937534  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00195648  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             200              128         0.008211             0.09                 15            86         NA            0.016312        NA               4.8e-05  3           0.00749037  4.8e-05  3           0.00809009  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00213745  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             100              128         0.00823364           0.08                 15            95         NA            0.016312        NA               4.8e-05  3           0.00753815  4.8e-05  3           0.00795226  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00188989  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             50               128         0.00881778           0.08                 17            95         NA            0.016312        NA               4.8e-05  3           0.0071546   4.8e-05  3           0.0085664   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00149217  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             30               128         0.0105681            0.07                 15            94         NA            0.016312        NA               4.8e-05  3           0.00767032  4.8e-05  3           0.0103535   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00180424  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             1000             128         0.00987193           0.08                 16            93         NA            0.016312        NA               4.8e-05  3           0.00808742  4.8e-05  3           0.00982772  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00222917  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             800              128         0.0199222            0.08                 17            83         NA            0.016312        NA               4.8e-05  3           0.00860879  4.8e-05  3           0.0197106   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00145626  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             600              128         0.0116434            0.07                 15            96         NA            0.016312        NA               4.8e-05  3           0.00847535  4.8e-05  3           0.0114011   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00148543  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             400              128         0.00951727           0.08                 17            95         NA            0.016312        NA               4.8e-05  3           0.00862073  4.8e-05  3           0.00927666  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00212377  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             200              128         0.0113914            0.08                 15            96         NA            0.016312        NA               4.8e-05  3           0.00873024  4.8e-05  3           0.011033    NA             NA                 NA            NA        NA            NA       0.016264     8                0.00132167  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             100              128         0.00999828           0.08                 17            90         NA            0.016312        NA               4.8e-05  3           0.00772559  4.8e-05  3           0.00978443  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00207701  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             50               128         0.0202641            0.08                 15            79         NA            0.016312        NA               4.8e-05  3           0.00783297  4.8e-05  3           0.0200547   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00201823  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             30               128         0.00869762           0.08                 15            88         NA            0.016312        NA               4.8e-05  3           0.00785703  4.8e-05  3           0.00850883  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00194862  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             1000             128         0.00978526           0.08                 17            94         NA            0.016312        NA               4.8e-05  3           0.00876905  4.8e-05  3           0.00958539  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00160241  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             800              128         0.0176438            0.07                 15            85         NA            0.016312        NA               4.8e-05  3           0.00780657  4.8e-05  3           0.017464    NA             NA                 NA            NA        NA            NA       0.016264     8                0.00182409  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             600              128         0.0129914            0.08                 16            92         NA            0.016312        NA               4.8e-05  3           0.00787971  4.8e-05  3           0.0127761   NA             NA                 NA            NA        NA            NA       0.016264     8                0.0019708   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             400              128         0.0185021            0.08                 16            80         NA            0.016312        NA               4.8e-05  3           0.00838516  4.8e-05  3           0.0183042   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00209888  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             200              128         0.00936852           0.07                 17            96         NA            0.016312        NA               4.8e-05  3           0.00813927  4.8e-05  3           0.00931203  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00218073  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             100              128         0.0197629            0.08                 16            79         NA            0.016312        NA               4.8e-05  3           0.00820402  4.8e-05  3           0.0194852   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00211547  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             50               128         0.00751816           0.08                 16            92         NA            0.016312        NA               4.8e-05  3           0.00680326  4.8e-05  3           0.00738558  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00249896  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             30               128         0.0115034            0.08                 16            92         NA            0.016312        NA               4.8e-05  3           0.00773613  4.8e-05  3           0.011266    NA             NA                 NA            NA        NA            NA       0.016264     8                0.00152774  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            1000             128         0.00925192           0.08                 16            95         NA            0.016312        NA               4.8e-05  3           0.00827335  4.8e-05  3           0.00903675  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00187096  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            800              128         0.00809199           0.08                 16            91         NA            0.016312        NA               4.8e-05  3           0.00730218  4.8e-05  3           0.00813781  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00142233  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            600              128         0.0214484            0.08                 17            78         NA            0.016312        NA               4.8e-05  3           0.00798031  4.8e-05  3           0.02133     NA             NA                 NA            NA        NA            NA       0.016264     8                0.0016412   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            400              128         0.00917263           0.08                 15            87         NA            0.016312        NA               4.8e-05  3           0.00808963  4.8e-05  3           0.00908449  NA             NA                 NA            NA        NA            NA       0.016264     8                0.00184037  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            200              128         0.0189898            0.08                 16            76         NA            0.016312        NA               4.8e-05  3           0.00840865  4.8e-05  3           0.0187957   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00226142  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             100            100              128         0.0105412            0.08                 15            95         NA            0.016312        NA               4.8e-05  3           0.00807486  4.8e-05  3           0.0103007   NA             NA                 NA            NA        NA            NA       0.016264     8                0.00170902  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
