program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          7.54          194                2                  1              1000             128         0.00771576           0.09                 16            86         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1              800              128         0.00795876           0.08                 15            89         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1              600              128         0.018699             0.07                 16            83         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1              400              128         0.00881016           0.08                 15            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1              200              128         0.00853608           0.08                 17            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1              100              128         0.00875435           0.08                 16            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1              50               128         0.0175948            0.08                 15            82         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1              30               128         0.00996955           0.07                 15            89         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             1000             128         0.0196091            0.07                 15            81         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             800              128         0.0102743            0.08                 15            90         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             600              128         0.0119362            0.08                 15            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             400              128         0.00832956           0.07                 15            98         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             200              128         0.00987429           0.08                 17            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             100              128         0.0103748            0.08                 15            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             50               128         0.0138379            0.08                 15            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 10             30               128         0.0186071            0.07                 16            84         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             1000             128         0.00883822           0.08                 15            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             800              128         0.0163603            0.08                 15            74         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             600              128         0.0105287            0.08                 17            86         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             400              128         0.00956674           0.08                 16            90         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             200              128         0.008211             0.09                 15            86         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             100              128         0.00823364           0.08                 15            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             50               128         0.00881778           0.08                 17            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 20             30               128         0.0105681            0.07                 15            94         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             1000             128         0.00987193           0.08                 16            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             800              128         0.0199222            0.08                 17            83         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             600              128         0.0116434            0.07                 15            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             400              128         0.00951727           0.08                 17            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             200              128         0.0113914            0.08                 15            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             100              128         0.00999828           0.08                 17            90         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             50               128         0.0202641            0.08                 15            79         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30             30               128         0.00869762           0.08                 15            88         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             1000             128         0.00978526           0.08                 17            94         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             800              128         0.0176438            0.07                 15            85         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             600              128         0.0129914            0.08                 16            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             400              128         0.0185021            0.08                 16            80         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             200              128         0.00936852           0.07                 17            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             100              128         0.0197629            0.08                 16            79         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             50               128         0.00751816           0.08                 16            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 40             30               128         0.0115034            0.08                 16            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            1000             128         0.00925192           0.08                 16            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            800              128         0.00809199           0.08                 16            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            600              128         0.0214484            0.08                 17            78         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            400              128         0.00917263           0.08                 15            87         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            200              128         0.0189898            0.08                 16            76         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            100              128         0.0105412            0.08                 15            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            50               128         0.00891375           0.07                 16            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100            30               128         0.0157368            0.07                 17            84         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            1000             128         0.019616             0.08                 15            81         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            800              128         0.00834191           0.08                 16            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            600              128         0.0105282            0.08                 15            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            400              128         0.00972427           0.08                 17            94         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            200              128         0.00873296           0.08                 15            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            100              128         0.00833276           0.08                 18            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            50               128         0.00958052           0.08                 15            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200            30               128         0.0108287            0.08                 16            94         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            1000             128         0.0093762            0.08                 15            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            800              128         0.0103441            0.08                 15            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            600              128         0.00976457           0.08                 15            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            400              128         0.0174196            0.07                 16            83         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            200              128         0.0138698            0.07                 16            90         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            100              128         0.0157046            0.07                 15            87         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            50               128         0.00873684           0.08                 15            89         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300            30               128         0.0107117            0.08                 16            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            1000             128         0.00781943           0.09                 15            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            800              128         0.0104585            0.08                 15            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            600              128         0.0200735            0.08                 16            72         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            400              128         0.0208221            0.08                 15            82         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            200              128         0.0102884            0.07                 16            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            100              128         0.00809426           0.08                 15            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            50               128         0.00797651           0.09                 16            88         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400            30               128         0.0108218            0.08                 15            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            1000             128         0.0164443            0.08                 18            79         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            800              128         0.0160011            0.08                 17            86         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            600              128         0.0193293            0.08                 15            75         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            400              128         0.0102075            0.08                 17            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            200              128         0.0114682            0.08                 15            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            100              128         0.00901403           0.08                 16            88         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            50               128         0.0198917            0.08                 17            81         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500            30               128         0.00955544           0.08                 16            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            1000             128         0.0179396            0.08                 17            80         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            800              128         0.0211823            0.08                 15            74         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            600              128         0.016247             0.07                 16            85         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            400              128         0.0086997            0.08                 16            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            200              128         0.020058             0.08                 15            76         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            100              128         0.0101417            0.08                 16            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            50               128         0.0137619            0.08                 16            90         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600            30               128         0.0199834            0.08                 15            81         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            1000             128         0.013519             0.08                 17            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            800              128         0.019562             0.08                 17            76         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            600              128         0.0110321            0.08                 16            91         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            400              128         0.0212048            0.08                 15            78         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            200              128         0.00875219           0.08                 19            89         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            100              128         0.0177345            0.08                 16            83         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            50               128         0.00926184           0.08                 15            90         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700            30               128         0.00788471           0.07                 16            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            1000             128         0.00731511           0.07                 15            94         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            800              128         0.0204266            0.08                 16            81         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            600              128         0.00797861           0.08                 16            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            400              128         0.00877543           0.08                 15            89         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            200              128         0.00727449           0.08                 15            93         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            100              128         0.0195391            0.08                 16            79         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            50               128         0.0181136            0.08                 15            78         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800            30               128         0.00916703           0.09                 16            85         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            1000             128         0.0172275            0.08                 15            81         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            800              128         0.00908411           0.08                 16            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            600              128         0.00842551           0.08                 16            94         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            400              128         0.00694033           0.07                 15            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            200              128         0.0116196            0.09                 16            86         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            100              128         0.0173772            0.07                 15            84         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            50               128         0.00904467           0.08                 15            96         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900            30               128         0.0114557            0.08                 15            95         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1000           1000             128         0.00966316           0.08                 17            92         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1000           800              128         0.0183707            0.07                 16            85         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1000           600              128         0.0085481            0.08                 15            89         NA            0.016312        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1000           400              128         0.00860402           0.08                 15            90         NA            0.016312        NA
