program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          239.84        5653               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           2.5         600              4096        0.142603             1.77                 290           98         NA            0.520248        NA               4.8e-05  3           0.138051  4.8e-05  3           0.142905  NA             NA                 NA            NA        NA            NA       0.5202       8                0.00894402  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         500              4096        0.14237              1.78                 290           97         NA            0.520248        NA               4.8e-05  3           0.137677  4.8e-05  3           0.142701  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0162694   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         400              4096        0.140093             1.78                 290           96         NA            0.520248        NA               4.8e-05  3           0.13567   4.8e-05  3           0.140116  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0105499   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         300              4096        0.143051             1.77                 290           97         NA            0.520248        NA               4.8e-05  3           0.138258  4.8e-05  3           0.143315  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0126561   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         200              4096        0.149774             1.77                 290           97         NA            0.520248        NA               4.8e-05  3           0.145594  4.8e-05  3           0.149799  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0204554   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         100              4096        0.168041             1.79                 290           96         NA            0.520248        NA               4.8e-05  3           0.16319   4.8e-05  3           0.168586  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0370654   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         80               4096        0.169838             1.85                 290           96         NA            0.520248        NA               4.8e-05  3           0.165187  4.8e-05  3           0.169885  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0412467   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         60               4096        0.179204             1.84                 290           93         NA            0.520248        NA               4.8e-05  3           0.174468  4.8e-05  3           0.179759  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0530754   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         40               4096        0.215342             1.89                 292           94         NA            0.520248        NA               4.8e-05  3           0.21087   4.8e-05  3           0.215509  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0848235   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         30               4096        0.270004             1.89                 292           91         NA            0.520248        NA               4.8e-05  3           0.265648  4.8e-05  3           0.270061  NA             NA                 NA            NA        NA            NA       0.5202       8                0.143934    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         600              4096        0.141201             1.78                 290           98         NA            0.520248        NA               4.8e-05  3           0.13706   4.8e-05  3           0.140715  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0122058   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         500              4096        0.146544             1.77                 290           97         NA            0.520248        NA               4.8e-05  3           0.14199   4.8e-05  3           0.14681   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0162996   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
