program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semihonest;replicated-bin;3;239.84;5653;44;2.5;600;4096;0.142603;1.77;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;500;4096;0.14237;1.78;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;400;4096;0.140093;1.78;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;300;4096;0.143051;1.77;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;200;4096;0.149774;1.77;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;100;4096;0.168041;1.79;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;80;4096;0.169838;1.85;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;60;4096;0.179204;1.84;290;93;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;40;4096;0.215342;1.89;292;94;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.5;30;4096;0.270004;1.89;292;91;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;600;4096;0.141201;1.78;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;500;4096;0.146544;1.77;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;400;4096;0.142394;1.77;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;300;4096;0.150291;1.77;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;200;4096;0.145759;1.78;292;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;100;4096;0.162243;1.82;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;80;4096;0.171995;1.83;290;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;60;4096;0.180418;1.81;290;95;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;40;4096;0.230997;1.90;290;93;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.3;30;4096;0.262133;1.92;290;90;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;600;4096;0.146847;1.84;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;500;4096;0.149308;1.84;292;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;400;4096;0.148293;1.92;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;300;4096;0.156814;1.85;290;98;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;200;4096;0.153346;1.88;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;100;4096;0.16876;1.86;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;80;4096;0.177842;1.88;292;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;60;4096;0.183849;1.90;292;96;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;40;4096;0.231286;1.93;290;93;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2.1;30;4096;0.272692;1.97;290;92;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2;600;4096;0.154756;1.95;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2;500;4096;0.151229;1.95;290;97;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2;400;4096;0.156294;1.95;290;98;NA;0.520248;NA
