program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          238.81        5652               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           1              600              4096        0.199381             1.87                 290           95         NA            0.520248        NA               4.8e-05  3           0.193634  4.8e-05  3           0.198404  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0535017   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              500              4096        0.203168             1.86                 290           95         NA            0.520248        NA               4.8e-05  3           0.197562  4.8e-05  3           0.202229  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0560214   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              400              4096        0.212009             1.88                 290           94         NA            0.520248        NA               4.8e-05  3           0.203834  4.8e-05  3           0.212194  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0449086   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              300              4096        0.20396              1.90                 290           94         NA            0.520248        NA               4.8e-05  3           0.196916  4.8e-05  3           0.203254  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0467063   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              200              4096        0.202587             1.85                 290           95         NA            0.520248        NA               4.8e-05  3           0.195778  4.8e-05  3           0.202569  NA             NA                 NA            NA        NA            NA       0.5202       8                0.050773    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              100              4096        0.216429             1.88                 290           94         NA            0.520248        NA               4.8e-05  3           0.209461  4.8e-05  3           0.216002  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0614066   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              80               4096        0.234843             1.91                 290           94         NA            0.520248        NA               4.8e-05  3           0.228325  4.8e-05  3           0.23523   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0821227   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              60               4096        0.245644             1.91                 290           93         NA            0.520248        NA               4.8e-05  3           0.239058  4.8e-05  3           0.246355  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0956921   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              40               4096        0.279808             1.93                 290           91         NA            0.520248        NA               4.8e-05  3           0.273867  4.8e-05  3           0.27855   NA             NA                 NA            NA        NA            NA       0.5202       8                0.131564    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1              30               4096        0.30361              1.96                 292           91         NA            0.520248        NA               4.8e-05  3           0.297251  4.8e-05  3           0.304163  NA             NA                 NA            NA        NA            NA       0.5202       8                0.147068    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             600              4096        0.205449             1.87                 290           95         NA            0.520248        NA               4.8e-05  3           0.198905  4.8e-05  3           0.205103  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0506348   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             500              4096        0.195319             1.85                 290           96         NA            0.520248        NA               4.8e-05  3           0.189357  4.8e-05  3           0.194073  NA             NA                 NA            NA        NA            NA       0.5202       8                0.044369    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             400              4096        0.215669             1.94                 290           92         NA            0.520248        NA               4.8e-05  3           0.208413  4.8e-05  3           0.215384  NA             NA                 NA            NA        NA            NA       0.5202       8                0.049654    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             300              4096        0.215361             1.92                 290           95         NA            0.520248        NA               4.8e-05  3           0.207963  4.8e-05  3           0.216165  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0646237   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             200              4096        0.201626             1.85                 290           96         NA            0.520248        NA               4.8e-05  3           0.195273  4.8e-05  3           0.201179  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0546514   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             100              4096        0.220153             1.88                 290           94         NA            0.520248        NA               4.8e-05  3           0.214119  4.8e-05  3           0.22017   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0682389   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             80               4096        0.245708             1.94                 290           94         NA            0.520248        NA               4.8e-05  3           0.239548  4.8e-05  3           0.247493  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0817203   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             60               4096        0.249969             1.93                 290           93         NA            0.520248        NA               4.8e-05  3           0.243262  4.8e-05  3           0.251204  NA             NA                 NA            NA        NA            NA       0.5202       8                0.103267    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             40               4096        0.266658             1.93                 290           91         NA            0.520248        NA               4.8e-05  3           0.259444  4.8e-05  3           0.266678  NA             NA                 NA            NA        NA            NA       0.5202       8                0.104568    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             30               4096        0.334387             2.06                 290           90         NA            0.520248        NA               4.8e-05  3           0.327912  4.8e-05  3           0.335924  NA             NA                 NA            NA        NA            NA       0.5202       8                0.170094    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             600              4096        0.194481             1.84                 290           95         NA            0.520248        NA               4.8e-05  3           0.188656  4.8e-05  3           0.193318  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0485873   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             500              4096        0.202182             1.87                 290           95         NA            0.520248        NA               4.8e-05  3           0.195625  4.8e-05  3           0.201691  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0517247   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             400              4096        0.196759             1.84                 290           96         NA            0.520248        NA               4.8e-05  3           0.190915  4.8e-05  3           0.195904  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0470774   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             300              4096        0.236165             1.95                 290           92         NA            0.520248        NA               4.8e-05  3           0.229029  4.8e-05  3           0.235319  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0619186   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             200              4096        0.19993              1.85                 290           95         NA            0.520248        NA               4.8e-05  3           0.194101  4.8e-05  3           0.199989  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0517747   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             100              4096        0.215611             1.87                 290           94         NA            0.520248        NA               4.8e-05  3           0.208891  4.8e-05  3           0.215905  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0675988   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
