program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;latencies(ms);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
42;BINARY;semihonest;replicated-bin;3;240.89;5593;56;NA;NA;NA;262144;64;NA;NA;NA;258048;8;1;600;4096;0.201532;2.14;298;93;NA;0.520248;1.03652;4.8e-05;3;0.000318402;4.8e-05;3;0.000725869;NA;NA;NA;NA;NA;NA;0.5202;8;0.0527302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;500;4096;0.222883;2.19;296;94;NA;0.520248;1.03652;4.8e-05;3;0.0002657;4.8e-05;3;0.00106905;NA;NA;NA;NA;NA;NA;0.5202;8;0.062744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;400;4096;0.204809;2.13;297;94;NA;0.520248;1.03652;4.8e-05;3;0.000370859;4.8e-05;3;0.00101104;NA;NA;NA;NA;NA;NA;0.5202;8;0.056033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;300;4096;0.208072;2.13;296;94;NA;0.520248;1.03652;4.8e-05;3;0.000428435;4.8e-05;3;0.00030052;NA;NA;NA;NA;NA;NA;0.5202;8;0.061934;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;200;4096;0.214108;2.15;298;94;NA;0.520248;1.03652;4.8e-05;3;0.000344515;4.8e-05;3;0.00123686;NA;NA;NA;NA;NA;NA;0.5202;8;0.0594376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;100;4096;0.220235;2.13;296;94;NA;0.520248;1.03652;4.8e-05;3;0.000338007;4.8e-05;3;0.000294283;NA;NA;NA;NA;NA;NA;0.5202;8;0.0680954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;80;4096;0.228731;2.16;296;93;NA;0.520248;1.03652;4.8e-05;3;0.000441768;4.8e-05;3;0.00070609;NA;NA;NA;NA;NA;NA;0.5202;8;0.0763795;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;60;4096;0.257294;2.20;297;92;NA;0.520248;1.03652;4.8e-05;3;0.000250284;4.8e-05;3;0.0011213;NA;NA;NA;NA;NA;NA;0.5202;8;0.0996798;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;40;4096;0.279082;2.24;297;90;NA;0.520248;1.03652;4.8e-05;3;0.00031174;4.8e-05;3;0.000300001;NA;NA;NA;NA;NA;NA;0.5202;8;0.122645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;30;4096;0.320371;2.34;296;87;NA;0.520248;1.03652;4.8e-05;3;0.000363035;4.8e-05;3;0.000290975;NA;NA;NA;NA;NA;NA;0.5202;8;0.155843;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
