program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semihonest;replicated-bin;3;240.89;5593;56;1;600;4096;0.201532;2.14;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;500;4096;0.222883;2.19;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;400;4096;0.204809;2.13;297;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;300;4096;0.208072;2.13;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;200;4096;0.214108;2.15;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;100;4096;0.220235;2.13;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;80;4096;0.228731;2.16;296;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;60;4096;0.257294;2.20;297;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;40;4096;0.279082;2.24;297;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1;30;4096;0.320371;2.34;296;87;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;600;4096;0.205174;2.13;296;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;500;4096;0.212613;2.15;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;400;4096;0.211976;2.16;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;300;4096;0.225799;2.18;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;200;4096;0.212829;2.14;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;100;4096;0.234646;2.20;296;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;80;4096;0.238639;2.18;297;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;60;4096;0.254143;2.20;297;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;40;4096;0.29411;2.22;296;91;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;30;4096;0.325803;2.25;299;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;600;4096;0.230762;2.20;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;500;4096;0.210169;2.13;299;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;400;4096;0.220613;2.16;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;300;4096;0.20928;2.13;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;200;4096;0.231164;2.19;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;100;4096;0.229616;2.24;296;91;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;80;4096;0.255425;2.20;298;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;60;4096;0.25483;2.23;297;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;40;4096;0.272451;2.20;298;91;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;30;4096;0.315089;2.24;297;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;600;4096;0.209768;2.20;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;500;4096;0.210024;2.16;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;400;4096;0.219965;2.19;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;300;4096;0.206537;2.13;299;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;200;4096;0.21896;2.16;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;100;4096;0.225875;2.14;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;80;4096;0.252606;2.25;299;92;NA;0.520248;1.03652
