program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          241.92        5594               56                 NA            NA            NA            262144        64            NA           NA            NA               258048           8              2.5         600              4096        0.140575             2.06                 296           95         NA            0.520248        1.03652          4.8e-05  3           0.000186713  4.8e-05  3           0.000528849  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0130373   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         500              4096        0.142834             2.10                 298           93         NA            0.520248        1.03652          4.8e-05  3           0.00019036   4.8e-05  3           0.000496697  NA             NA                 NA            NA        NA            NA       0.5202       8                0.011034    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         400              4096        0.155054             2.03                 296           97         NA            0.520248        1.03652          4.8e-05  3           0.00018042   4.8e-05  3           0.00089519   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0164449   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         300              4096        0.145091             2.02                 296           97         NA            0.520248        1.03652          4.8e-05  3           0.00018429   4.8e-05  3           0.000349591  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0140982   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         200              4096        0.152491             2.08                 296           94         NA            0.520248        1.03652          4.8e-05  3           0.000190382  4.8e-05  3           0.000268987  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0218165   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         100              4096        0.164767             2.04                 296           96         NA            0.520248        1.03652          4.8e-05  3           0.000180735  4.8e-05  3           0.00110813   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0366154   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         80               4096        0.168606             2.05                 297           95         NA            0.520248        1.03652          4.8e-05  3           0.000190486  4.8e-05  3           0.00074687   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0384174   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         60               4096        0.192115             2.14                 296           95         NA            0.520248        1.03652          4.8e-05  3           0.000221538  4.8e-05  3           0.000873585  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0534384   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         40               4096        0.218452             2.26                 296           86         NA            0.520248        1.03652          4.8e-05  3           0.000225727  4.8e-05  3           0.000737044  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0862827   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         30               4096        0.265242             2.14                 296           92         NA            0.520248        1.03652          4.8e-05  3           0.000187731  4.8e-05  3           0.000880477  NA             NA                 NA            NA        NA            NA       0.5202       8                0.135133    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         600              4096        0.144404             2.02                 298           97         NA            0.520248        1.03652          4.8e-05  3           0.000182645  4.8e-05  3           0.000733492  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0170299   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         500              4096        0.144048             2.04                 296           96         NA            0.520248        1.03652          4.8e-05  3           0.000163222  4.8e-05  3           0.000777572  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0109256   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
