program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          241.92        5594               56                 2.5         600              4096        0.140575             2.06                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         500              4096        0.142834             2.10                 298           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         400              4096        0.155054             2.03                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         300              4096        0.145091             2.02                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         200              4096        0.152491             2.08                 296           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         100              4096        0.164767             2.04                 296           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         80               4096        0.168606             2.05                 297           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         60               4096        0.192115             2.14                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         40               4096        0.218452             2.26                 296           86         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.5         30               4096        0.265242             2.14                 296           92         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         600              4096        0.144404             2.02                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         500              4096        0.144048             2.04                 296           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         400              4096        0.145909             2.02                 298           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         300              4096        0.150158             2.03                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         200              4096        0.149089             2.03                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         100              4096        0.171997             2.05                 298           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         80               4096        0.173188             2.07                 298           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         60               4096        0.184447             2.09                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         40               4096        0.219492             2.16                 298           91         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.3         30               4096        0.265253             2.14                 297           91         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         600              4096        0.147006             2.11                 299           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         500              4096        0.1483               2.11                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         400              4096        0.160975             2.12                 296           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 2.1         300              4096        0.152095             2.13                 298           97         NA            0.520248        1.03652
